Name,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Ben Shneiderman,Text1,0.021052632,0.147368421,0.021505376,0.105263158,195,0.5720666,0.0077
Ben Shneiderman,Text2,0.039215686,0.178217822,0.02020202,0.158415842,370,0.53971505,0.0072
Ben Shneiderman,Text3,0.025974026,0.236842105,0.027027027,0.131578947,379,0.6249804,0.0114
Fabian Beck,Text1,0.014814815,0.311111111,0.015037594,0.162962963,397,0.79444957,0.0051
Fabian Beck,Text2,0.034188034,0.24137931,0.035087719,0.155172414,461,0.69808054,0.0097
Fabian Beck,Text3,0.078431373,0.316831683,0.080808081,0.257425743,283,0.7168375,0.0217
Mary Jean Harrold,Text1,0.01980198,0.1,0.020408163,0.08,191,0.5761959,0.0068
Mary Jean Harrold,Text2,0.056603774,0.19047619,0.058252427,0.152380952,389,0.7123125,0.0177
Mary Jean Harrold,Text3,0.051948052,0.289473684,0.027027027,0.210526316,472,0.64552623,0.0109
Stephan Diehl,Text1,0.054421769,0.22972973,0.054794521,0.162162162,385,0.70186126,0.0091
Stephan Diehl,Text2,0.03960396,0.37254902,0.06,0.215686275,458,0.7628953,0.0113
Stephan Diehl,Text3,0.119047619,0.376470588,0.120481928,0.235294118,289,0.7747042,0.0227
Daniel Weiskopf,Text1,0.0,0.095238095,0.0,0.095238095,168,0.6200653,0.0037
Daniel Weiskopf,Text2,0.0,0.153846154,0.0,0.102564103,352,0.612577,0.0047
Daniel Weiskopf,Text3,0.02247191,0.25,0.023255814,0.159090909,277,0.72745794,0.0084
Michael Burch,Text1,0.072727273,0.218181818,0.074074074,0.181818182,225,0.6216717,0.0353
Michael Burch,Text2,0.055555556,0.281690141,0.086956522,0.225352113,428,0.6827716,0.0141
Michael Burch,Text3,0.02020202,0.244897959,0.041666667,0.204081633,222,0.63309747,0.0049
James A. Jones,Text1,0.126126126,0.357142857,0.127272727,0.214285714,417,0.8330577,0.0314
James A. Jones,Text2,0.045454545,0.206896552,0.047058824,0.183908046,284,0.727941,0.0047
James A. Jones,Text3,0.066666667,0.420168067,0.085470085,0.168067227,127,0.87136066,0.0135
Catherine Plaisant,Text1,0.022988506,0.209302326,0.023809524,0.162790698,192,0.6446204,0.0094
Catherine Plaisant,Text2,0.096774194,0.360655738,0.101694915,0.262295082,364,0.77341485,0.0218
Catherine Plaisant,Text3,0.016528926,0.1,0.016949153,0.083333333,195,0.5529054,0.0052
Benjamin B. Bederson,Text1,0.077922078,0.25974026,0.08,0.181818182,269,0.5783317,0.0173
Benjamin B. Bederson,Text2,0.0625,0.273684211,0.064516129,0.210526316,215,0.6900387,0.0128
Benjamin B. Bederson,Text3,0.051948052,0.157894737,0.054054054,0.157894737,343,0.59697413,0.013
Stuart K. Card,Text1,0.0,0.134831461,0.0,0.08988764,200,0.59096605,0.0049
Stuart K. Card,Text2,0.058823529,0.242424242,0.0625,0.181818182,328,0.5012571,0.0336
Stuart K. Card,Text3,0.017391304,0.157894737,0.017857143,0.105263158,177,0.683038,0.0066
Achim Ebert,Text1,0.024390244,0.265060241,0.024691358,0.168674699,421,0.7356239,0.0059
Achim Ebert,Text2,0.03539823,0.265486726,0.036036036,0.212389381,148,0.7445552,0.0131
Achim Ebert,Text3,0.01980198,0.181818182,0.018518519,0.163636364,276,0.6787497,0.0092
Mary C. Whitton,Text1,0.068181818,0.255813953,0.071428571,0.186046512,331,0.7179807,0.0124
Mary C. Whitton,Text2,0.093023256,0.267716535,0.096,0.188976378,202,0.6916472,0.0501
Mary C. Whitton,Text3,0.159292035,0.396396396,0.146788991,0.27027027,414,0.8184758,0.0191
Henry Fuchs,Text1,0.020833333,0.16,0.020408163,0.12,184,0.6032973,0.0076
Henry Fuchs,Text2,0.142857143,0.436363636,0.150943396,0.327272727,412,0.8035868,0.0517
Henry Fuchs,Text3,0.0625,0.210526316,0.064516129,0.147368421,161,0.68398875,0.0113
Dieter Schmalstieg,Text1,0.078431373,0.36,0.041666667,0.28,196,0.6988834,0.02
Dieter Schmalstieg,Text2,0.061538462,0.3125,0.064516129,0.21875,125,0.73978853,0.0149
Dieter Schmalstieg,Text3,0.018018018,0.142857143,0.018181818,0.107142857,217,0.64680666,0.0059
Anna Celler,Text1,0.065934066,0.241758242,0.04494382,0.197802198,224,0.70763373,0.013
Anna Celler,Text2,0.03030303,0.149253731,0.030769231,0.119402985,311,0.53113526,0.0125
Anna Celler,Text3,0.02020202,0.18556701,0.021052632,0.164948454,184,0.72809696,0.0092
Ghassan Hamarneh,Text1,0.017857143,0.283185841,0.018018018,0.212389381,381,0.8133212,0.0108
Ghassan Hamarneh,Text2,0.057971014,0.262773723,0.059259259,0.145985401,361,0.7567222,0.0099
Ghassan Hamarneh,Text3,0.0,0.195488722,0.0,0.15037594,538,0.73551136,0.0042
Xenophon Papademetris,Text1,0.157894737,0.378378378,0.166666667,0.27027027,339,0.8115424,0.024
Xenophon Papademetris,Text2,0.151898734,0.311688312,0.186666667,0.233766234,159,0.7762453,0.0563
