Name,Model,Mean F1 Score,Mean Rouge1,Mean Rouge2,Mean RougeL,Mean Length,Mean Vec2,Mean Bleu
Ben Shneiderman,ada,0.028747448,0.187476116,0.022911474,0.131752649,314.6666667,0.578920683,0.008766667
Ben Shneiderman,curie,0.127549665,0.364175408,0.120782841,0.21402972,300,0.707828047,0.037133333
Ben Shneiderman,davinci,0.35234091,0.575655941,0.342328042,0.535792894,226,0.667642443,0.108
Ben Shneiderman,turbo,0.407854051,0.598039216,0.404653988,0.571723426,195,0.797973533,0.227566667
Fabian Beck,ada,0.042478074,0.289774035,0.043644465,0.191853707,380.3333333,0.73645587,0.012166667
Fabian Beck,curie,0.136443299,0.407048556,0.140766108,0.255159047,281,0.7916483,0.027666667
Fabian Beck,davinci,0.169022416,0.354689041,0.184924879,0.271763907,154.6666667,0.559721367,0.034233333
Fabian Beck,turbo,0.165218756,0.408465608,0.171295507,0.27526455,156.3333333,0.717194187,0.042533333
Mary Jean Harrold,ada,0.042784602,0.193316625,0.035229206,0.147635756,350.6666667,0.64467821,0.0118
Mary Jean Harrold,curie,0.133229135,0.441711809,0.126952397,0.266558324,213.3333333,0.75026385,0.038833333
Mary Jean Harrold,davinci,0.362986313,0.568951803,0.361358856,0.514800584,158,0.680917263,0.1103
Mary Jean Harrold,turbo,0.261965812,0.504800593,0.243924285,0.431940425,273,0.753258473,0.097333333
Stephan Diehl,ada,0.071024449,0.326249779,0.078425483,0.204380852,377.3333333,0.74648692,0.014366667
Stephan Diehl,curie,0.144530411,0.357763853,0.145710886,0.247063011,274.6666667,0.741710333,0.0615
Stephan Diehl,davinci,0.207114216,0.392977393,0.209673824,0.34539442,149.6666667,0.65316107,0.082233333
Stephan Diehl,turbo,0.206974858,0.407769424,0.227183705,0.321804512,279.6666667,0.74418131,0.049866667
Daniel Weiskopf,ada,0.007490637,0.166361416,0.007751938,0.118964369,265.6666667,0.653366747,0.0056
Daniel Weiskopf,curie,0.126015803,0.345169054,0.11592007,0.277784353,238.6666667,0.70839997,0.0209
Daniel Weiskopf,davinci,0.321504605,0.546000546,0.342268826,0.48976249,177.6666667,0.67155269,0.1617
Daniel Weiskopf,turbo,0.325144818,0.513825276,0.31621447,0.483290925,337.3333333,0.756061633,0.227966667
Michael Burch,ada,0.04949495,0.248256639,0.067565754,0.203750643,291.6666667,0.645846923,0.0181
Michael Burch,curie,0.121694027,0.337654441,0.125966929,0.214520951,252,0.713285633,0.038333333
Michael Burch,davinci,0.343403714,0.519051311,0.356996997,0.473138657,159,0.710334657,0.143366667
Michael Burch,turbo,0.208140432,0.459736272,0.244942656,0.378840552,296.6666667,0.678129667,0.110466667
James A. Jones,ada,0.079415779,0.328069159,0.086600545,0.188753662,276,0.810786453,0.016533333
James A. Jones,curie,0.099095447,0.341031082,0.101939539,0.2296494,302,0.697625317,0.018566667
James A. Jones,davinci,0.18654561,0.370914156,0.19334577,0.279071482,139.3333333,0.61572795,0.023533333
James A. Jones,turbo,0.196576572,0.473421649,0.202997719,0.311612364,175,0.792994067,0.060066667
Catherine Plaisant,ada,0.045430542,0.223319355,0.047484531,0.169473038,250.3333333,0.656980217,0.012133333
Catherine Plaisant,curie,0.106412418,0.379122141,0.110982708,0.202553153,305,0.68825744,0.0265
Catherine Plaisant,davinci,0.310237603,0.546655954,0.313519814,0.466023918,142,0.63420931,0.117166667
Catherine Plaisant,turbo,0.277089783,0.552495879,0.295726496,0.470466815,187,0.730853933,0.162033333
Benjamin B. Bederson,ada,0.064123377,0.230439736,0.066190061,0.183413078,275.6666667,0.62178151,0.014366667
Benjamin B. Bederson,curie,0.101609298,0.345238095,0.115483474,0.185805861,256.6666667,0.714335673,0.032733333
Benjamin B. Bederson,davinci,0.244479221,0.438134832,0.244410045,0.38440617,179.3333333,0.611265877,0.0707
Benjamin B. Bederson,turbo,0.269193608,0.464154487,0.283145799,0.402908274,321,0.752579823,0.122033333
Stuart K. Card,ada,0.025404944,0.17838348,0.026785714,0.125656327,235,0.591753717,0.015033333
Stuart K. Card,curie,0.104588788,0.401209913,0.110922984,0.255018123,219.6666667,0.670197483,0.0328
Stuart K. Card,davinci,0.229236979,0.464957265,0.245138428,0.322364672,157.3333333,0.584417903,0.086633333
Stuart K. Card,turbo,0.20767383,0.431612548,0.220207492,0.280290401,305.6666667,0.6580835,0.105133333
Achim Ebert,ada,0.026530151,0.23745505,0.026415304,0.181566815,281.6666667,0.719642933,0.0094
Achim Ebert,curie,0.094084464,0.346029168,0.095857949,0.174311058,292,0.733577743,0.030366667
Achim Ebert,davinci,0.215383425,0.404598769,0.237892948,0.351023884,165.3333333,0.78367708,0.083366667
Achim Ebert,turbo,0.225313603,0.407061448,0.239556239,0.337374723,157,0.75657049,0.0595
