Name,Model,publications,Generated_Texts,F1_Score,RougeL,Length,Vec2,Bleu
Ben Shneiderman,ada,400,Text1,0.021052632,0.105263158,195,0.5720666,0.0077
Ben Shneiderman,davinci,400,Text2,0.418604651,0.571428571,102,0.52731353,0.008
Ben Shneiderman,ada,400,Text2,0.039215686,0.158415842,370,0.53971505,0.0072
Ben Shneiderman,turbo,400,Text2,0.5,0.62745098,149,0.8263335,0.2818
Ben Shneiderman,turbo,400,Text1,0.233766234,0.421052632,298,0.7642196,0.1424
Ben Shneiderman,davinci,400,Text3,0.333333333,0.553191489,138,0.7117858,0.0632
Ben Shneiderman,turbo,400,Text3,0.489795918,0.666666667,138,0.8033675,0.2585
Ben Shneiderman,davinci,400,Text1,0.305084746,0.482758621,438,0.763828,0.2528
Ben Shneiderman,curie,400,Text3,0.123076923,0.215384615,211,0.73060274,0.0429
Ben Shneiderman,curie,400,Text2,0.1875,0.28125,494,0.70406646,0.0494
Ben Shneiderman,curie,400,Text1,0.072072072,0.145454545,195,0.68881494,0.0191
Ben Shneiderman,ada,400,Text3,0.025974026,0.131578947,379,0.6249804,0.0114
Dieter Schmalstieg,curie,300,Text1,0.142857143,0.290909091,196,0.7870308,0.0593
Dieter Schmalstieg,curie,300,Text2,0.158730159,0.285714286,168,0.6860676,0.0492
Dieter Schmalstieg,curie,300,Text3,0.25,0.327272727,210,0.8037936,0.179
Dieter Schmalstieg,davinci,300,Text1,0.461538462,0.62745098,376,0.851009,0.3151
Dieter Schmalstieg,davinci,300,Text2,0.325581395,0.428571429,115,0.44821078,0.0368
Dieter Schmalstieg,davinci,300,Text3,0.4,0.612244898,145,0.71663153,0.225
Dieter Schmalstieg,turbo,300,Text1,0.195121951,0.345679012,372,0.7870942,0.1053
Dieter Schmalstieg,turbo,300,Text2,0.333333333,0.553191489,127,0.71441245,0.1994
Dieter Schmalstieg,turbo,300,Text3,0.408163265,0.583333333,138,0.7915317,0.1551
Dieter Schmalstieg,ada,300,Text1,0.078431373,0.28,196,0.6988834,0.02
Dieter Schmalstieg,ada,300,Text3,0.018018018,0.107142857,217,0.64680666,0.0059
Dieter Schmalstieg,ada,300,Text2,0.061538462,0.21875,125,0.73978853,0.0149
Daniel Weiskopf,turbo,250,Text2,0.52173913,0.666666667,131,0.824808,0.3709
Daniel Weiskopf,turbo,250,Text1,0.061538462,0.183206107,724,0.6875569,0.0119
Daniel Weiskopf,davinci,250,Text3,0.47826087,0.666666667,134,0.8163412,0.2731
Daniel Weiskopf,davinci,250,Text2,0.157894737,0.378378378,113,0.41089597,0.0158
Daniel Weiskopf,curie,250,Text3,0.093023256,0.285714286,274,0.59102577,0.0108
Daniel Weiskopf,curie,250,Text2,0.111111111,0.253521127,274,0.7852503,0.017
Daniel Weiskopf,curie,250,Text1,0.173913043,0.294117647,168,0.74892384,0.0349
Daniel Weiskopf,ada,250,Text3,0.02247191,0.159090909,277,0.72745794,0.0084
Daniel Weiskopf,ada,250,Text2,0.0,0.102564103,352,0.612577,0.0047
Daniel Weiskopf,davinci,250,Text1,0.328358209,0.424242424,286,0.7874209,0.1962
Daniel Weiskopf,turbo,250,Text3,0.392156863,0.6,157,0.75582,0.3011
Daniel Weiskopf,ada,250,Text1,0.0,0.095238095,168,0.6200653,0.0037
Catherine Plaisant,turbo,150,Text3,0.350877193,0.5,187,0.72762954,0.25
Catherine Plaisant,ada,150,Text1,0.022988506,0.162790698,192,0.6446204,0.0094
Catherine Plaisant,ada,150,Text2,0.096774194,0.262295082,364,0.77341485,0.0218
Catherine Plaisant,ada,150,Text3,0.016528926,0.083333333,195,0.5529054,0.0052
Catherine Plaisant,curie,150,Text1,0.080808081,0.142857143,192,0.7024345,0.0229
Catherine Plaisant,curie,150,Text2,0.173913043,0.235294118,459,0.68697786,0.0392
Catherine Plaisant,curie,150,Text3,0.064516129,0.229508197,264,0.67535996,0.0174
Catherine Plaisant,davinci,150,Text1,0.264705882,0.447761194,174,0.7747908,0.1954
