Author Name,Existing Text Length,Generated Text 1 Length,Generated Text 2 Length,Generated Text 3 Length
Ben Shneiderman,195,370,379,286
Fabian Beck,397,461,283,229
Mary Jean Harrold,191,389,472,261
Stephan Diehl,385,458,289,174
Daniel Weiskopf,168,352,277,371
Michael Burch,225,428,222,357
James A. Jones,417,284,127,317
Catherine Plaisant,192,364,195,534
Benjamin B. Bederson,269,215,343,188
Stuart K. Card,200,328,177,473
Achim Ebert,421,148,276,293
Mary C. Whitton,331,202,414,363
Henry Fuchs,184,412,161,435
Dieter Schmalstieg,196,125,217,432
Anna Celler,224,311,184,366
Ghassan Hamarneh,381,361,538,468
Xenophon Papademetris,339,159,163,151
Penny Rheingans,332,239,326,197
Marie desJardins,243,114,112,192
Carla E. Brodley,243,288,429,156
