Name,Mean F1 Score,Mean Rouge1,Mean Rouge2,Mean RougeL,Mean Length,Mean Vec2,Mean Bleu
Ben Shneiderman,0.028747448,0.187476116,0.022911474333333334,0.131752649,314.6666666666667,0.5789206833333332,0.008766666666666667
Fabian Beck,0.042478074,0.2897740346666667,0.04364446466666667,0.19185370666666665,380.3333333333333,0.73645587,0.012166666666666668
Mary Jean Harrold,0.042784602000000005,0.19331662466666666,0.035229205666666666,0.147635756,350.6666666666667,0.64467821,0.0118
Stephan Diehl,0.07102444933333334,0.3262497793333333,0.078425483,0.20438085166666667,377.3333333333333,0.74648692,0.014366666666666666
Daniel Weiskopf,0.007490636666666667,0.16636141633333335,0.007751938,0.118964369,265.6666666666667,0.6533667466666667,0.0056
Michael Burch,0.04949494966666667,0.24825663933333333,0.06756575433333332,0.20375064266666665,291.6666666666667,0.6458469233333334,0.0181
James A. Jones,0.07941577933333334,0.32806915866666664,0.08660054533333333,0.18875366233333332,276.0,0.8107864533333333,0.016533333333333334
Catherine Plaisant,0.045430542,0.22331935466666666,0.04748453066666666,0.16947303766666666,250.33333333333334,0.6569802166666666,0.012133333333333335
Benjamin B. Bederson,0.06412337666666666,0.230439736,0.06619006100000001,0.18341307833333334,275.6666666666667,0.62178151,0.014366666666666666
Stuart K. Card,0.025404944333333332,0.17838348,0.026785714333333332,0.12565632666666668,235.0,0.5917537166666667,0.015033333333333334
Achim Ebert,0.026530151333333335,0.23745504966666667,0.026415304333333334,0.1815668146666667,281.6666666666667,0.7196429333333333,0.0094
Mary C. Whitton,0.10683236966666666,0.30664229466666665,0.10473918733333333,0.21509772000000002,315.6666666666667,0.7427012333333334,0.027200000000000002
Henry Fuchs,0.07539682533333333,0.26896331733333334,0.07862256266666667,0.198213716,252.33333333333334,0.6969576166666668,0.023533333333333337
Dieter Schmalstieg,0.05266261766666667,0.2717857143333333,0.04145487133333333,0.2019642856666667,179.33333333333334,0.6951595300000001,0.013600000000000001
Anna Celler,0.03881303866666667,0.19219299433333334,0.03225522766666667,0.160717879,239.66666666666666,0.6556219833333333,0.011566666666666668
Ghassan Hamarneh,0.025276052333333337,0.24714942866666667,0.025759092333333334,0.16958357400000001,426.6666666666667,0.7685182533333332,0.0083
Xenophon Papademetris,0.12058050766666667,0.3366888966666666,0.13604261833333334,0.23023439033333334,220.33333333333334,0.7436943666666668,0.03006666666666667
Penny Rheingans,0.13018512299999999,0.34313666800000003,0.13613622133333333,0.23961265833333334,299.0,0.7560288633333334,0.0375
Marie desJardins,0.12222222233333334,0.309668695,0.13023088,0.247464503,156.33333333333334,0.7055919999999999,0.023033333333333333
Carla E. Brodley,0.11453371066666666,0.32842644833333334,0.12067741366666666,0.2311385326666667,320.0,0.77034298,0.03563333333333333
