Name,BLEU_1,BLEU_2,BLEU_3
Ben Shneiderman,0.0191,0.0494,0.0429
Fabian Beck,0.0292,0.0239,0.0299
Mary Jean Harrold,0.0442,0.0192,0.0531
Stephan Diehl,0.0305,0.1177,0.0363
Daniel Weiskopf,0.0349,0.0170,0.0108
Michael Burch,0.0261,0.0446,0.0443
James A. Jones,0.0225,0.0233,0.0099
Catherine Plaisant,0.0229,0.0392,0.0174
Benjamin B. Bederson,0.0241,0.0392,0.0349
Stuart K. Card,0.0392,0.0199,0.0393
Achim Ebert,0.0730,0.0128,0.0053
Mary C. Whitton,0.0380,0.0135,0.0076
Henry Fuchs,0.0556,0.0214,0.0591
Dieter Schmalstieg,0.0593,0.0492,0.1790
Anna Celler,0.0426,0.0364,0.0068
Ghassan Hamarneh,0.0306,0.0142,0.0262
Xenophon Papademetris,0.0423,0.0271,0.0379
Penny Rheingans,0.1387,0.0269,0.0290
Marie desJardins,0.0560,0.0358,0.0546
Carla E. Brodley,0.0568,0.0365,0.0544
