Name,Mean F1 Score,Mean Rouge1,Mean Rouge2,Mean RougeL,Mean Length,Mean Vec2,Mean Bleu
Ben Shneiderman,0.127549665,0.364175408,0.12078284133333334,0.21402972,300.0,0.7078280466666667,0.03713333333333333
Fabian Beck,0.136443299,0.4070485556666667,0.14076610833333333,0.255159047,281.0,0.7916483,0.02766666666666667
Mary Jean Harrold,0.133229135,0.44171180933333326,0.12695239666666666,0.2665583243333333,213.33333333333334,0.7502638500000001,0.03883333333333334
Stephan Diehl,0.14453041066666666,0.357763853,0.14571088566666668,0.24706301099999997,274.6666666666667,0.7417103333333334,0.0615
Daniel Weiskopf,0.12601580333333331,0.34516905366666667,0.11592007033333333,0.27778435333333334,238.66666666666666,0.70839997,0.020900000000000002
Michael Burch,0.12169402666666666,0.33765444133333333,0.12596692933333334,0.21452095066666665,252.0,0.7132856333333333,0.03833333333333333
James A. Jones,0.09909544733333335,0.3410310816666667,0.10193953933333333,0.22964939966666667,302.0,0.6976253166666666,0.018566666666666665
Catherine Plaisant,0.10641241766666666,0.37912214066666666,0.11098270833333333,0.20255315266666665,305.0,0.68825744,0.0265
Benjamin B. Bederson,0.10160929766666667,0.34523809533333333,0.11548347366666667,0.185805861,256.6666666666667,0.7143356733333334,0.03273333333333333
Stuart K. Card,0.104588788,0.40120991266666667,0.110922984,0.25501812333333335,219.66666666666666,0.6701974833333333,0.0328
Achim Ebert,0.09408446433333334,0.346029168,0.09585794866666668,0.17431105766666666,292.0,0.7335777433333334,0.030366666666666667
Mary C. Whitton,0.09937209933333334,0.34069767433333337,0.09400352733333334,0.23794926033333333,297.0,0.7003442866666667,0.0197
Henry Fuchs,0.17926634766666663,0.423897707,0.18884818866666667,0.28542938533333334,180.33333333333334,0.66618867,0.045366666666666666
Dieter Schmalstieg,0.183862434,0.4875420873333333,0.19300958833333334,0.3012987013333333,191.33333333333334,0.7589640000000001,0.09583333333333333
Anna Celler,0.11794060366666666,0.393431085,0.11666666633333334,0.28325094266666667,205.0,0.70187911,0.0286
Ghassan Hamarneh,0.11498304633333334,0.416638757,0.12558027666666666,0.218484639,298.0,0.7587440666666666,0.02366666666666667
Xenophon Papademetris,0.14907407433333333,0.413227368,0.15518305666666665,0.259536444,324.6666666666667,0.80499099,0.03576666666666667
Penny Rheingans,0.15214565866666666,0.4134476843333334,0.158496934,0.250554397,272.0,0.7461786466666668,0.06486666666666667
Marie desJardins,0.177106556,0.5135975136666667,0.18530701733333332,0.313131313,219.33333333333334,0.78064093,0.0488
Carla E. Brodley,0.17836997566666668,0.47936447933333337,0.18795321666666664,0.295977296,236.0,0.7877670733333333,0.04923333333333333
