Name,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Ben Shneiderman,Text1,0.072072072,0.254545455,0.074074074,0.145454545,195,0.68881494,0.0191
Ben Shneiderman,Text2,0.1875,0.46875,0.161290323,0.28125,494,0.70406646,0.0494
Ben Shneiderman,Text3,0.123076923,0.369230769,0.126984127,0.215384615,211,0.73060274,0.0429
Fabian Beck,Text1,0.125,0.442105263,0.129032258,0.273684211,397,0.7938497,0.0292
Fabian Beck,Text2,0.14,0.404040404,0.144329897,0.262626263,211,0.7352122,0.0239
Fabian Beck,Text3,0.144329897,0.375,0.14893617,0.229166667,235,0.845883,0.0299
Mary Jean Harrold,Text1,0.123076923,0.430769231,0.126984127,0.246153846,191,0.7545903,0.0442
Mary Jean Harrold,Text2,0.112676056,0.394366197,0.115942029,0.253521127,216,0.70178425,0.0192
Mary Jean Harrold,Text3,0.163934426,0.5,0.137931034,0.3,233,0.794417,0.0531
Stephan Diehl,Text1,0.085106383,0.412371134,0.084210526,0.24742268,385,0.7801249,0.0305
Stephan Diehl,Text2,0.181818182,0.359550562,0.183908046,0.247191011,255,0.7594865,0.1177
Stephan Diehl,Text3,0.166666667,0.301369863,0.169014085,0.246575342,184,0.6855196,0.0363
Daniel Weiskopf,Text1,0.173913043,0.411764706,0.181818182,0.294117647,168,0.74892384,0.0349
Daniel Weiskopf,Text2,0.111111111,0.338028169,0.115942029,0.253521127,274,0.7852503,0.017
Daniel Weiskopf,Text3,0.093023256,0.285714286,0.05,0.285714286,274,0.59102577,0.0108
Michael Burch,Text1,0.093023256,0.279069767,0.095238095,0.186046512,225,0.7038735,0.0261
Michael Burch,Text2,0.147058824,0.352941176,0.151515152,0.235294118,337,0.6898754,0.0446
Michael Burch,Text3,0.125,0.380952381,0.131147541,0.222222222,194,0.746108,0.0443
James A. Jones,Text1,0.134615385,0.368932039,0.138613861,0.27184466,417,0.74497855,0.0225
James A. Jones,Text2,0.127272727,0.422018349,0.130841121,0.23853211,218,0.6754765,0.0233
James A. Jones,Text3,0.03539823,0.232142857,0.036363636,0.178571429,271,0.6724209,0.0099
Catherine Plaisant,Text1,0.080808081,0.306122449,0.083333333,0.142857143,192,0.7024345,0.0229
Catherine Plaisant,Text2,0.173913043,0.470588235,0.181818182,0.235294118,459,0.68697786,0.0392
Catherine Plaisant,Text3,0.064516129,0.360655738,0.06779661,0.229508197,264,0.67535996,0.0174
Benjamin B. Bederson,Text1,0.065217391,0.285714286,0.06741573,0.153846154,269,0.6123461,0.0241
Benjamin B. Bederson,Text2,0.14084507,0.4,0.176470588,0.228571429,316,0.73728126,0.0392
Benjamin B. Bederson,Text3,0.098765432,0.35,0.102564103,0.175,185,0.79337966,0.0349
Stuart K. Card,Text1,0.109589041,0.422535211,0.115942029,0.253521127,200,0.6984485,0.0392
Stuart K. Card,Text2,0.115942029,0.447761194,0.123076923,0.23880597,242,0.59039915,0.0199
Stuart K. Card,Text3,0.088235294,0.333333333,0.09375,0.272727273,217,0.7217448,0.0393
Achim Ebert,Text1,0.134831461,0.314606742,0.137931034,0.224719101,421,0.6862943,0.073
Achim Ebert,Text2,0.098039216,0.427184466,0.099009901,0.174757282,190,0.7686922,0.0128
