Name,F1 Score 1,F1 Score 2,F1 Score 3
Ben Shneiderman,0.072072072,0.1875,0.123076923
Fabian Beck,0.125,0.14,0.144329897
Mary Jean Harrold,0.123076923,0.112676056,0.163934426
Stephan Diehl,0.085106383,0.181818182,0.166666667
Daniel Weiskopf,0.173913043,0.111111111,0.093023256
Michael Burch,0.093023256,0.147058824,0.125
James A. Jones,0.134615385,0.127272727,0.03539823
Catherine Plaisant,0.080808081,0.173913043,0.064516129
Benjamin B. Bederson,0.065217391,0.14084507,0.098765432
Stuart K. Card,0.109589041,0.115942029,0.088235294
Achim Ebert,0.134831461,0.098039216,0.049382716
Mary C. Whitton,0.126126126,0.090909091,0.081081081
Henry Fuchs,0.145454545,0.181818182,0.210526316
Dieter Schmalstieg,0.142857143,0.158730159,0.25
Anna Celler,0.151898734,0.125,0.076923077
Ghassan Hamarneh,0.117647059,0.112359551,0.114942529
Xenophon Papademetris,0.155555556,0.125,0.166666667
Penny Rheingans,0.189473684,0.137931034,0.129032258
Marie desJardins,0.17721519,0.179104478,0.175
Carla E. Brodley,0.2,0.157894737,0.17721519
