Name,ROUGE2_Generated_Text1,ROUGE2_Generated_Text2,ROUGE2_Generated_Text3
Ben Shneiderman,0.074074074,0.161290323,0.126984127
Fabian Beck,0.129032258,0.144329897,0.14893617
Mary Jean Harrold,0.126984127,0.115942029,0.137931034
Stephan Diehl,0.084210526,0.183908046,0.169014085
Daniel Weiskopf,0.181818182,0.115942029,0.05
Michael Burch,0.095238095,0.151515152,0.131147541
James A. Jones,0.138613861,0.130841121,0.036363636
Catherine Plaisant,0.083333333,0.181818182,0.06779661
Benjamin B. Bederson,0.06741573,0.176470588,0.102564103
Stuart K. Card,0.115942029,0.123076923,0.09375
Achim Ebert,0.137931034,0.099009901,0.050632911
Mary C. Whitton,0.12962963,0.095238095,0.057142857
Henry Fuchs,0.153846154,0.19047619,0.222222222
Dieter Schmalstieg,0.150943396,0.163934426,0.264150943
Anna Celler,0.133333333,0.133333333,0.083333333
Ghassan Hamarneh,0.141414141,0.11627907,0.119047619
Xenophon Papademetris,0.16091954,0.12962963,0.175
Penny Rheingans,0.197802198,0.142857143,0.134831461
Marie desJardins,0.184210526,0.1875,0.184210526
Carla E. Brodley,0.210526316,0.166666667,0.186666667
