Name,Generated Text 1,Generated Text 2,Generated Text 3
Ben Shneiderman,0.68881494,0.70406646,0.73060274
Fabian Beck,0.7938497,0.7352122,0.845883
Mary Jean Harrold,0.7545903,0.70178425,0.794417
Stephan Diehl,0.7801249,0.7594865,0.6855196
Daniel Weiskopf,0.74892384,0.7852503,0.59102577
Michael Burch,0.7038735,0.6898754,0.746108
James A. Jones,0.74497855,0.6754765,0.6724209
Catherine Plaisant,0.7024345,0.68697786,0.67535996
Benjamin B. Bederson,0.6123461,0.73728126,0.79337966
Stuart K. Card,0.6984485,0.59039915,0.7217448
Achim Ebert,0.6862943,0.7686922,0.74574673
Mary C. Whitton,0.7748833,0.69267416,0.6334754
Henry Fuchs,0.63268024,0.6197286,0.74615717
Dieter Schmalstieg,0.7870308,0.6860676,0.8037936
Anna Celler,0.81800693,0.7126911,0.5749393
Ghassan Hamarneh,0.7154044,0.7209198,0.839908
Xenophon Papademetris,0.83395386,0.76104516,0.81997395
Penny Rheingans,0.7841432,0.6608826,0.79351014
Marie desJardins,0.76539284,0.7327356,0.84379435
Carla E. Brodley,0.83152604,0.70408714,0.82768804
