Name,ROUGE1_Generated_Text1,ROUGE1_Generated_Text2,ROUGE1_Generated_Text3
Ben Shneiderman,0.517241379,0.571428571,0.638297872
Fabian Beck,0.436781609,0.222222222,0.405063291
Mary Jean Harrold,0.52173913,0.465116279,0.72
Stephan Diehl,0.464646465,0.314285714,0.4
Daniel Weiskopf,0.484848485,0.486486486,0.666666667
Michael Burch,0.473684211,0.468085106,0.615384615
James A. Jones,0.421052632,0.282051282,0.409638554
Catherine Plaisant,0.507462687,0.523809524,0.608695652
Benjamin B. Bederson,0.428571429,0.377358491,0.508474576
Stuart K. Card,0.444444444,0.488888889,0.461538462
Achim Ebert,0.403669725,0.379746835,0.430379747
Mary C. Whitton,0.442307692,0.34375,0.434782609
Henry Fuchs,0.542857143,0.476190476,0.653061224
Dieter Schmalstieg,0.62745098,0.523809524,0.612244898
Anna Celler,0.586666667,0.44,0.509090909
Ghassan Hamarneh,0.436781609,0.242424242,0.38961039
Xenophon Papademetris,0.43373494,0.349206349,0.405797101
Penny Rheingans,0.403846154,0.222222222,0.434782609
Marie desJardins,0.59375,0.392156863,0.571428571
Carla E. Brodley,0.512820513,0.384615385,0.517241379
