Author,ROUGE1_Generated_Text1,ROUGE2_Generated_Text1,ROUGEL_Generated_Text1,ROUGE1_Generated_Text2,ROUGE2_Generated_Text2,ROUGEL_Generated_Text2,ROUGE1_Generated_Text3,ROUGE2_Generated_Text3,ROUGEL_Generated_Text3
Ben Shneiderman,0.5172413793103449,0.32142857142857145,0.4827586206896552,0.5714285714285714,0.35000000000000003,0.5714285714285714,0.6382978723404255,0.3555555555555555,0.5531914893617021
Fabian Beck,0.4367816091954023,0.23529411764705885,0.3448275862068966,0.2222222222222222,0.08571428571428573,0.16666666666666669,0.4050632911392405,0.23376623376623376,0.30379746835443044
Mary Jean Harrold,0.5217391304347826,0.29850746268656714,0.4057971014492754,0.46511627906976755,0.24390243902439027,0.4186046511627907,0.7200000000000001,0.5416666666666667,0.7200000000000001
Stephan Diehl,0.46464646464646464,0.24742268041237114,0.40404040404040403,0.3142857142857143,0.1764705882352941,0.2571428571428572,0.4,0.20512820512820512,0.375
Daniel Weiskopf,0.48484848484848486,0.34374999999999994,0.42424242424242425,0.48648648648648657,0.17142857142857143,0.3783783783783784,0.6666666666666665,0.5116279069767442,0.6666666666666665
Michael Burch,0.47368421052631576,0.3243243243243243,0.4210526315789474,0.4680851063829786,0.26666666666666666,0.3829787234042553,0.6153846153846154,0.4800000000000001,0.6153846153846154
James A. Jones,0.42105263157894735,0.15053763440860216,0.29473684210526313,0.28205128205128205,0.15789473684210528,0.20512820512820512,0.40963855421686746,0.2716049382716049,0.3373493975903615
Catherine Plaisant,0.5074626865671643,0.2769230769230769,0.44776119402985076,0.5238095238095237,0.3,0.4285714285714286,0.6086956521739131,0.3636363636363636,0.5217391304347826
Benjamin B. Bederson,0.4285714285714286,0.14705882352941177,0.34285714285714286,0.3773584905660377,0.23529411764705882,0.3018867924528302,0.5084745762711865,0.35087719298245607,0.5084745762711865
Stuart K. Card,0.4444444444444444,0.14285714285714288,0.19444444444444445,0.48888888888888893,0.2325581395348837,0.3111111111111111,0.4615384615384615,0.36000000000000004,0.4615384615384615
Achim Ebert,0.40366972477064217,0.16822429906542055,0.29357798165137616,0.37974683544303794,0.23376623376623376,0.35443037974683544,0.43037974683544306,0.3116883116883117,0.40506329113924056
Mary C. Whitton,0.4423076923076923,0.15686274509803919,0.2692307692307692,0.34374999999999994,0.1935483870967742,0.28124999999999994,0.4347826086956521,0.26865671641791045,0.37681159420289856
Henry Fuchs,0.5428571428571429,0.2647058823529412,0.4285714285714286,0.4761904761904762,0.25,0.4285714285714286,0.6530612244897959,0.425531914893617,0.6122448979591837
Dieter Schmalstieg,0.6274509803921569,0.44897959183673464,0.6274509803921569,0.5238095238095237,0.3,0.4285714285714286,0.6122448979591837,0.425531914893617,0.6122448979591837
Anna Celler,0.5866666666666667,0.2465753424657534,0.4,0.43999999999999995,0.25000000000000006,0.32,0.509090909090909,0.33962264150943394,0.4363636363636364
Ghassan Hamarneh,0.4367816091954023,0.28235294117647064,0.4367816091954023,0.24242424242424243,0.09375,0.2121212121212121,0.3896103896103896,0.21333333333333335,0.33766233766233766
Xenophon Papademetris,0.4337349397590361,0.2469135802469136,0.3373493975903614,0.3492063492063492,0.19672131147540983,0.28571428571428575,0.40579710144927533,0.2686567164179105,0.34782608695652173
Penny Rheingans,0.4038461538461538,0.17647058823529413,0.28846153846153844,0.22222222222222224,0.0,0.19047619047619047,0.43478260869565216,0.2686567164179105,0.3768115942028986
Marie desJardins,0.59375,0.3225806451612903,0.40625,0.39215686274509803,0.20408163265306123,0.35294117647058826,0.5714285714285715,0.3703703703703704,0.5
Carla E. Brodley,0.5128205128205129,0.2631578947368421,0.358974358974359,0.3846153846153846,0.2,0.3076923076923077,0.5172413793103448,0.35714285714285715,0.4482758620689655
