Author,Generated Text 1,Generated Text 2,Generated Text 3
Ben Shneiderman,0.8044366,0.44766825,0.7858371
Fabian Beck,0.83114654,0.5885998,0.7588827
Mary Jean Harrold,0.7884362,0.80116975,0.78462654
Stephan Diehl,0.79127294,0.7490697,0.74539024
Daniel Weiskopf,0.7012945,0.643216,0.82197213
Michael Burch,0.6814179,0.3387145,0.7492193
James A. Jones,0.64307976,0.48953378,0.71215844
Catherine Plaisant,0.8611177,0.5435233,0.84662014
Benjamin B. Bederson,0.6607022,0.564672,0.816286
Stuart K. Card,0.6588643,0.48083803,0.6133515
Achim Ebert,0.837256,0.66670907,0.7482974
Mary C. Whitton,0.85318273,0.5004073,0.7723429
Henry Fuchs,0.8146292,0.7870676,0.8355354
Dieter Schmalstieg,0.8318513,0.5572619,0.868792
Anna Celler,0.77312016,0.62211585,0.7634325
Ghassan Hamarneh,0.86930746,0.4999372,0.7581095
Xenophon Papademetris,0.8635176,0.73257446,0.8073593
Penny Rheingans,0.82634866,0.60348076,0.8138535
Marie desJardins,0.7631746,0.54232556,0.7914479
Carla E. Brodley,0.7952907,0.75834143,0.7863246
