Name,ROUGE1_Generated_Text1,ROUGE1_Generated_Text2,ROUGE1_Generated_Text3
Ben Shneiderman,0.5,0.62745098,0.666666667
Fabian Beck,0.444444444,0.380952381,0.4
Mary Jean Harrold,0.310679612,0.576271186,0.62745098
Stephan Diehl,0.328571429,0.447368421,0.447368421
Daniel Weiskopf,0.27480916,0.666666667,0.6
Michael Burch,0.267716535,0.545454545,0.566037736
James A. Jones,0.484210526,0.469387755,0.466666667
Catherine Plaisant,0.447761194,0.638297872,0.571428571
Benjamin B. Bederson,0.31884058,0.542372881,0.53125
Stuart K. Card,0.375,0.438356164,0.481481481
Achim Ebert,0.390804598,0.4,0.430379747
Mary C. Whitton,0.519480519,0.486486486,0.5
Henry Fuchs,0.467532468,0.417910448,0.666666667
Dieter Schmalstieg,0.395061728,0.638297872,0.666666667
Anna Celler,0.636363636,0.561403509,0.456140351
Ghassan Hamarneh,0.428571429,0.304347826,0.363636364
Xenophon Papademetris,0.465753425,0.455696203,0.463768116
Penny Rheingans,0.512820513,0.441176471,0.463768116
Marie desJardins,0.552631579,0.507462687,0.586206897
Carla E. Brodley,0.46,0.551724138,0.551724138
