Name,Mean F1 Score,Mean Rouge1,Mean Rouge2,Mean RougeL,Mean Length,Mean Vec2,Mean Bleu
Ben Shneiderman,0.40785405066666663,0.5980392156666666,0.4046539883333333,0.5717234263333334,195.0,0.7979735333333333,0.22756666666666667
Fabian Beck,0.165218756,0.40846560833333334,0.17129550666666668,0.27526455033333336,156.33333333333334,0.7171941866666667,0.04253333333333333
Mary Jean Harrold,0.2619658123333333,0.5048005926666667,0.243924285,0.43194042466666666,273.0,0.7532584733333333,0.09733333333333334
Stephan Diehl,0.20697485833333337,0.4077694236666667,0.22718370533333335,0.3218045116666666,279.6666666666667,0.7441813100000001,0.04986666666666667
Daniel Weiskopf,0.32514481833333336,0.5138252756666667,0.31621447033333333,0.4832909246666666,337.3333333333333,0.7560616333333333,0.22796666666666665
Michael Burch,0.208140432,0.45973627199999995,0.244942656,0.37884055233333336,296.6666666666667,0.6781296666666666,0.11046666666666667
James A. Jones,0.19657657166666667,0.47342164933333336,0.202997719,0.31161236433333334,175.0,0.7929940666666666,0.060066666666666664
Catherine Plaisant,0.27708978333333334,0.552495879,0.2957264956666667,0.4704668146666667,187.0,0.7308539333333334,0.16203333333333333
Benjamin B. Bederson,0.26919360833333333,0.46415448700000006,0.28314579933333334,0.402908274,321.0,0.7525798233333333,0.12203333333333333
Stuart K. Card,0.20767383033333334,0.4316125483333333,0.220207492,0.28029040099999997,305.6666666666667,0.6580835,0.10513333333333334
Achim Ebert,0.22531360266666667,0.4070614483333333,0.23955623866666667,0.337374723,157.0,0.75657049,0.0595
Mary C. Whitton,0.2721098846666667,0.5019890016666667,0.2872486773333333,0.38647738633333334,155.0,0.7635076666666668,0.05296666666666666
Henry Fuchs,0.252193185,0.517369861,0.308480119,0.41515905333333336,228.66666666666666,0.70860827,0.14306666666666668
Dieter Schmalstieg,0.31220618299999997,0.5666754223333333,0.36870299033333337,0.49406794466666665,212.33333333333334,0.7643461166666666,0.15326666666666666
Anna Celler,0.27201728166666667,0.5513024986666667,0.28068181833333333,0.43381180199999997,150.66666666666666,0.798874,0.11626666666666667
Ghassan Hamarneh,0.10456379633333333,0.3655185396666667,0.11482445633333334,0.2643829596666667,336.0,0.7617181766666666,0.05896666666666667
Xenophon Papademetris,0.26509012933333337,0.461739248,0.2998797853333333,0.38970186,159.33333333333334,0.7405484833333333,0.08786666666666666
Penny Rheingans,0.25461099933333337,0.47258836666666665,0.3094614643333333,0.39092180899999995,144.0,0.7133180566666667,0.06493333333333333
Marie desJardins,0.2470042033333333,0.5487670543333333,0.26166716166666665,0.3844073643333334,194.0,0.7413385566666667,0.08226666666666667
Carla E. Brodley,0.29673202633333334,0.5211494253333333,0.31632653066666666,0.40367816100000004,228.33333333333334,0.7858861333333333,0.10223333333333333
