Name,F1 Score 1,F1 Score 2,F1 Score 3
Ben Shneiderman,0.233766234,0.5,0.489795918
Fabian Beck,0.10989011,0.188235294,0.197530864
Mary Jean Harrold,0.134615385,0.266666667,0.384615385
Stephan Diehl,0.087591241,0.266666667,0.266666667
Daniel Weiskopf,0.061538462,0.52173913,0.392156863
Michael Burch,0.078125,0.25,0.296296296
James A. Jones,0.208333333,0.161616162,0.21978022
Catherine Plaisant,0.147058824,0.333333333,0.350877193
Benjamin B. Bederson,0.043478261,0.333333333,0.430769231
Stuart K. Card,0.14159292,0.16,0.321428571
Achim Ebert,0.183908046,0.188235294,0.303797468
Mary C. Whitton,0.202531646,0.289473684,0.324324324
Henry Fuchs,0.230769231,0.117647059,0.408163265
Dieter Schmalstieg,0.195121951,0.333333333,0.408163265
Anna Celler,0.205882353,0.338983051,0.271186441
Ghassan Hamarneh,0.164705882,0.028985507,0.12
Xenophon Papademetris,0.266666667,0.24691358,0.281690141
Penny Rheingans,0.225,0.257142857,0.281690141
Marie desJardins,0.233766234,0.173913043,0.333333333
Carla E. Brodley,0.156862745,0.366666667,0.366666667
