Author Name,Generated Text 1 Length,Generated Text 2 Length,Generated Text 3 Length
Ben Shneiderman,298,149,138
Fabian Beck,177,155,137
Mary Jean Harrold,487,188,144
Stephan Diehl,567,135,137
Daniel Weiskopf,724,131,157
Michael Burch,608,145,137
James A. Jones,172,203,150
Catherine Plaisant,248,126,187
Benjamin B. Bederson,670,136,157
Stuart K. Card,514,252,151
Achim Ebert,166,164,141
Mary C. Whitton,167,157,141
Henry Fuchs,301,247,138
Dieter Schmalstieg,372,127,138
Anna Celler,180,130,142
Ghassan Hamarneh,180,538,290
Xenophon Papademetris,159,183,136
Penny Rheingans,168,128,136
Marie desJardins,243,200,139
Carla E. Brodley,415,135,135
