Author,Num_Adjectives,Top_Adjective_1,Top_Adjective_2
Ben Shneiderman,9,core,visual
Fabian Beck,6,core,visual
Mary Jean Harrold,3,similar,scientific
Stephan Diehl,5,core,similar
Daniel Weiskopf,9,current,visual
Michael Burch,5,core,visual
James A. Jones,2,similar,scientific
Catherine Plaisant,9,current,visual
Benjamin B. Bederson,9,visual,human-computer
Stuart K. Card,6,visual,human-computer
Achim Ebert,7,current,visual
Mary C. Whitton,9,focus,medical
Henry Fuchs,7,focus,immersive
Dieter Schmalstieg,6,visual,scientific
Anna Celler,7,focus,medical
Ghassan Hamarneh,7,biomedical,similar
Xenophon Papademetris,7,focus,medical
Penny Rheingans,5,core,time-oriented
Marie desJardins,4,focus,time-oriented
Carla E. Brodley,2,similar,scientific
