Generated_Texts,Model,Bleu,F1_Score,RougeL,Length,Vec2
Text1,ada,0.055245,0.1258395192,0.23408337495000003,266.1,0.617607119679451
Text1,curie,0.24572500000000003,0.336622943,0.5409687662884218,361.2,0.712726166844368
Text1,davinci,0.100365,0.22443442575,0.4124028048147257,165.8,0.609718448
Text1,turbo,0.36367,0.45736174700000004,0.57653393335,353.8,0.9263770320000001
Text2,ada,0.09753,0.17037509345,0.3148058251,249.6,0.5902387380599976
Text2,curie,0.18028,0.27818001985,0.36774505827471354,280.8,0.6861355036497117
Text2,davinci,0.07839,0.20639553959999998,0.231323917602279,169.3,0.5855582115
Text2,turbo,0.364425,0.47356272575,0.59137928515,335.9,0.9137661055
Text3,ada,0.064305,0.14247676215,0.2543255409,163.7,0.5793197929859162
Text3,curie,0.16126000000000001,0.23035668280000002,0.44088897874712873,269.65,0.6963866770267486
Text3,davinci,0.31387,0.4163519359,0.3818378419873884,314.65,0.8854637390000001
Text3,turbo,0.3344,0.4279544362,0.54611604925,361.4,0.9298332300000001
