Author Name,Existing Text Length,Generated Text 2 Length,Generated Text 3 Length
Ben Shneiderman,435,364,184
Fabian Beck,314,381,216
Mary Jean Harrold,331,330,305
Stephan Diehl,293,236,210
Daniel Weiskopf,572,451,8
Michael Burch,413,207,198
James A. Jones,283,225,167
Catherine Plaisant,349,343,157
Benjamin B. Bederson,384,258,223
Stuart K. Card,371,302,265
Achim Ebert,342,203,0
Mary C. Whitton,384,180,352
Henry Fuchs,320,175,109
Dieter Schmalstieg,483,207,253
Anna Celler,212,150,0
Ghassan Hamarneh,283,192,106
Xenophon Papademetris,329,170,130
Penny Rheingans,411,178,269
Marie desJardins,430,153,0
Carla E. Brodley,285,287,122
