Author,Generated Text 1,Generated Text 2,Generated Text 3
Ben Shneiderman,0.8409980535507202,0.6950445175170898,0.7717206478118896
Fabian Beck,0.8843818306922913,0.8539870381355286,0.8867136240005493
Mary Jean Harrold,0.8445706963539124,0.8747730851173401,0.8214240074157715
Stephan Diehl,0.0,0.0,0.0
Daniel Weiskopf,0.908859133720398,0.9182674288749695,0.8392792344093323
Michael Burch,0.8608489036560059,0.8425132036209106,0.7279686331748962
James A. Jones,0.8631824851036072,0.8538620471954346,0.8076136708259583
Catherine Plaisant,0.8684266209602356,0.8613214492797852,0.7844680547714233
Benjamin B. Bederson,0.9364194273948669,0.7282319664955139,0.7754208445549011
Stuart K. Card,0.8938957452774048,0.8392033576965332,0.9438725709915161
Achim Ebert,0.7888094782829285,0.7051911354064941,0.7391998767852783
Mary C. Whitton,0.7974821925163269,0.7285627126693726,0.8483765721321106
Henry Fuchs,0.7712909579277039,0.7560840249061584,0.773548424243927
Dieter Schmalstieg,0.8487721681594849,0.9126215577125549,0.8744714260101318
Anna Celler,0.0,0.0,0.0
Ghassan Hamarneh,0.0,0.0,0.0
Xenophon Papademetris,0.827774703502655,0.7833818197250366,0.6955777406692505
Penny Rheingans,0.6521285772323608,0.8006405830383301,0.9181330800056458
Marie desJardins,0.8910440802574158,0.7464870810508728,0.8213347792625427
Carla E. Brodley,0.7756382822990417,0.8225370645523071,0.8986103534698486
