Name,BLEU_1,BLEU_2,BLEU_3
Ben Shneiderman,0.2442,0.1346,0.2098
Fabian Beck,0.3774,0.2883,0.2709
Mary Jean Harrold,0.3392,0.2847,0.0154
Stephan Diehl,0.3120,0.2536,0.0000
Daniel Weiskopf,0.2034,0.1964,0.3225
Michael Burch,0.0882,0.1994,0.0637
James A. Jones,0.3281,0.3232,0.1242
Catherine Plaisant,0.2866,0.1070,0.2223
Benjamin B. Bederson,0.3191,0.2483,0.2777
Stuart K. Card,0.3904,0.0946,0.4154
Achim Ebert,0.2413,0.0405,0.0863
Mary C. Whitton,0.3353,0.0113,0.3300
Henry Fuchs,0.1478,0.0924,0.0863
Dieter Schmalstieg,0.3656,0.4093,0.1523
Anna Celler,0.1010,0.0856,0.0000
Ghassan Hamarneh,0.0876,0.1861,0.0000
Xenophon Papademetris,0.3395,0.2570,0.0238
Penny Rheingans,0.0046,0.0520,0.1062
Marie desJardins,0.2876,0.2181,0.1548
Carla E. Brodley,0.1156,0.1232,0.3636
