Name,ROUGE1_Generated_Text1,ROUGE2_Generated_Text1,ROUGEL_Generated_Text1,ROUGE1_Generated_Text2,ROUGE2_Generated_Text2,ROUGEL_Generated_Text2,ROUGE1_Generated_Text3,ROUGE2_Generated_Text3,ROUGEL_Generated_Text3
Ben Shneiderman,0.5252525252525253,0.4536082474226804,0.505050505050505,0.3541666666666667,0.276595744680851,0.3333333333333333,0.5242718446601942,0.3366336633663366,0.4466019417475728
Fabian Beck,0.6888888888888889,0.5,0.6666666666666666,0.6105263157894737,0.3870967741935484,0.42105263157894735,0.6019417475728155,0.3762376237623762,0.5436893203883495
Mary Jean Harrold,0.6136363636363635,0.4883720930232558,0.6136363636363635,0.6185567010309279,0.37894736842105264,0.4742268041237114,0.3953488372093023,0.09523809523809525,0.20930232558139533
Stephan Diehl,0.6236559139784946,0.3956043956043956,0.5161290322580645,0.6086956521739131,0.35555555555555557,0.5217391304347826,0.0,0.0,0
Daniel Weiskopf,0.46715328467153283,0.2518518518518519,0.2627737226277372,0.45925925925925926,0.30075187969924816,0.2962962962962963,0.6307692307692309,0.46875,0.6
Michael Burch,0.44897959183673464,0.22916666666666663,0.2653061224489796,0.5046728971962617,0.3047619047619048,0.37383177570093457,0.32989690721649484,0.1473684210526316,0.24742268041237114
James A. Jones,0.6419753086419754,0.43037974683544306,0.5925925925925926,0.5675675675675677,0.4722222222222222,0.5675675675675677,0.4657534246575343,0.22535211267605632,0.2191780821917808
Catherine Plaisant,0.6117647058823529,0.45783132530120485,0.5647058823529412,0.40963855421686746,0.19753086419753085,0.3132530120481928,0.5714285714285714,0.4146341463414634,0.5714285714285714
Benjamin B. Bederson,0.6491228070175439,0.4285714285714286,0.36842105263157887,0.5227272727272728,0.37209302325581395,0.4772727272727273,0.6,0.3877551020408163,0.54
Stuart K. Card,0.6458333333333334,0.5106382978723404,0.6250000000000001,0.375,0.1636363636363636,0.26785714285714285,0.6964285714285714,0.5454545454545455,0.5357142857142857
Achim Ebert,0.5,0.3673469387755102,0.43999999999999995,0.4109589041095891,0.2535211267605634,0.35616438356164387,0.3488372093023256,0.19047619047619052,0.3023255813953488
Mary C. Whitton,0.6285714285714287,0.5048543689320387,0.5523809523809523,0.42696629213483145,0.22988505747126434,0.20224719101123595,0.6336633663366337,0.4242424242424242,0.5742574257425743
Henry Fuchs,0.4742268041237114,0.2736842105263158,0.24742268041237114,0.48192771084337355,0.2962962962962963,0.21686746987951805,0.3448275862068965,0.14035087719298245,0.2068965517241379
Dieter Schmalstieg,0.6557377049180328,0.5333333333333333,0.5737704918032787,0.7121212121212122,0.5692307692307693,0.6363636363636365,0.4521739130434782,0.30088495575221236,0.3826086956521739
Anna Celler,0.38235294117647056,0.1818181818181818,0.23529411764705882,0.425,0.2051282051282051,0.25000000000000006,0.0,0.0,0.0
Ghassan Hamarneh,0.37209302325581395,0.16666666666666666,0.23255813953488375,0.45871559633027525,0.3177570093457944,0.40366972477064217,0.0,0.0,0
Xenophon Papademetris,0.5499999999999999,0.46153846153846156,0.5499999999999999,0.5476190476190476,0.39024390243902435,0.5,0.3714285714285714,0.20588235294117646,0.2285714285714286
Penny Rheingans,0.2947368421052632,0.08602150537634408,0.16842105263157897,0.42857142857142855,0.16666666666666666,0.2040816326530612,0.5120000000000001,0.22764227642276422,0.27199999999999996
Marie desJardins,0.6168224299065421,0.45714285714285713,0.5233644859813084,0.5,0.32653061224489793,0.44,0.3548387096774194,0.16393442622950818,0.2258064516129032
Carla E. Brodley,0.42857142857142855,0.17647058823529413,0.3142857142857143,0.4383561643835617,0.16901408450704225,0.32876712328767127,0.6021505376344085,0.48351648351648346,0.5806451612903226
