Name,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2
Ben Shneiderman,Text1,0.102564103,0.3,0.3,0.3,148,0.5355431
Ben Shneiderman,Text2,0.15,0.1025641025641025,0.1025641025641025,0.1025641025641025,159,0.6260565
Ben Shneiderman,Text3,0.392523364,0.225,0.225,0.225,306,0.8755764
Fabian Beck,Text1,0.383561644,0.5277777777777777,0.5277777777777777,0.5277777777777777,193,0.73094463
Fabian Beck,Text2,0.368421053,0.3714285714285714,0.3714285714285714,0.3714285714285714,209,0.68940264
Fabian Beck,Text3,0.391304348,0.5,0.5,0.5,264,0.8579505
Mary Jean Harrold,Text1,0.361445783,0.5411764705882353,0.5411764705882353,0.5411764705882353,224,0.77572924
Mary Jean Harrold,Text2,0.416666667,0.3855421686746987,0.3855421686746987,0.3855421686746987,172,0.71047974
Mary Jean Harrold,Text3,0.377777778,0.5176470588235293,0.5176470588235293,0.5176470588235293,273,0.87773293
Stephan Diehl,Text1,0.363636364,0.4848484848484848,0.4848484848484848,0.4848484848484848,149,0.66842
Stephan Diehl,Text2,0.06557377,0.375,0.375,0.375,112,0.4938962
Stephan Diehl,Text3,0.414634146,0.4848484848484848,0.4848484848484848,0.4848484848484848,227,0.89912105
Daniel Weiskopf,Text1,0.407079646,0.5045045045045046,0.5045045045045046,0.5045045045045046,269,0.685952
Daniel Weiskopf,Text2,0.224299065,0.4036697247706421,0.4036697247706421,0.4036697247706421,245,0.6720291
Daniel Weiskopf,Text3,0.481203008,0.4864864864864865,0.4864864864864865,0.4864864864864865,376,0.9044139
Michael Burch,Text1,0.350515464,0.4791666666666666,0.4791666666666666,0.4791666666666666,249,0.8357944
Michael Burch,Text2,0.219512195,0.3404255319148936,0.3404255319148936,0.3404255319148936,165,0.59200406
Michael Burch,Text3,0.388349515,0.3749999999999999,0.3749999999999999,0.3749999999999999,278,0.89492416
James A. Jones,Text1,0.425,0.6,0.6,0.6,222,0.86420476
James A. Jones,Text2,0.1,0.4358974358974358,0.4358974358974358,0.4358974358974358,134,0.5369187
James A. Jones,Text3,0.372093023,0.5,0.5,0.5,274,0.8611605
Catherine Plaisant,Text1,0.32,0.4935064935064934,0.4935064935064934,0.4935064935064934,208,0.6870792
Catherine Plaisant,Text2,0.358974359,0.32,0.32,0.32,223,0.7598721
Catherine Plaisant,Text3,0.448979592,0.4675324675324675,0.4675324675324675,0.4675324675324675,313,0.92284995
Benjamin B. Bederson,Text1,0.0,0.2318840579710145,0.2318840579710145,0.2318840579710145,102,0.3794359
Benjamin B. Bederson,Text2,0.061538462,0.0597014925373134,0.0597014925373134,0.0597014925373134,89,0.29464558
Benjamin B. Bederson,Text3,0.414414414,0.2318840579710145,0.2318840579710145,0.2318840579710145,409,0.90880495
Stuart K. Card,Text1,0.447058824,0.5909090909090909,0.5909090909090909,0.5909090909090909,265,0.7533918
Stuart K. Card,Text2,0.441860465,0.4651162790697674,0.4651162790697674,0.4651162790697674,259,0.7896686
Stuart K. Card,Text3,0.457142857,0.5454545454545455,0.5454545454545455,0.5454545454545455,365,0.9277575
Achim Ebert,Text1,0.032258065,0.2222222222222222,0.2222222222222222,0.2222222222222222,90,0.54264265
Achim Ebert,Text2,0.030769231,0.0,0.0,0.0,113,0.53100216
Achim Ebert,Text3,0.375,0.1904761904761904,0.1904761904761904,0.1904761904761904,318,0.8939284
Mary C. Whitton,Text1,0.135135135,0.3636363636363636,0.3636363636363636,0.3636363636363636,156,0.28597263
Mary C. Whitton,Text2,0.056338028,0.16,0.16,0.16,119,0.53418976
Mary C. Whitton,Text3,0.485981308,0.3636363636363636,0.3636363636363636,0.3636363636363636,349,0.87595713
Henry Fuchs,Text1,0.098360656,0.2769230769230769,0.2769230769230769,0.2769230769230769,109,0.5549103
Henry Fuchs,Text2,0.235294118,0.0952380952380952,0.0952380952380952,0.0952380952380952,153,0.6421189
Henry Fuchs,Text3,0.454545455,0.2769230769230769,0.2769230769230769,0.2769230769230769,281,0.8636531
Dieter Schmalstieg,Text1,0.024390244,0.1839080459770115,0.1839080459770115,0.1839080459770115,97,0.5510483
Dieter Schmalstieg,Text2,0.023809524,0.0235294117647058,0.0235294117647058,0.0235294117647058,145,0.20205194
Dieter Schmalstieg,Text3,0.480620155,0.1839080459770115,0.1839080459770115,0.1839080459770115,426,0.9110061
Anna Celler,Text1,0.227272727,0.3333333333333333,0.3333333333333333,0.3333333333333333,92,0.5905236
Anna Celler,Text2,0.217391304,0.2,0.2,0.2,114,0.5380061
Anna Celler,Text3,0.260869565,0.3333333333333333,0.3333333333333333,0.3333333333333333,234,0.8353958
Ghassan Hamarneh,Text1,0.071428571,0.4,0.4,0.4,139,0.609569
Ghassan Hamarneh,Text2,0.074074074,0.0754716981132075,0.0754716981132075,0.0754716981132075,126,0.4479899
Ghassan Hamarneh,Text3,0.430379747,0.3272727272727272,0.3272727272727272,0.3272727272727272,263,0.84439415
Xenophon Papademetris,Text1,0.092307692,0.3492063492063492,0.3492063492063492,0.3492063492063492,124,0.6506175
Xenophon Papademetris,Text2,0.205882353,0.0655737704918032,0.0655737704918032,0.0655737704918032,131,0.6843471
Xenophon Papademetris,Text3,0.387755102,0.3174603174603175,0.3174603174603175,0.3174603174603175,316,0.8842767
Penny Rheingans,Text1,0.135135135,0.3466666666666666,0.3466666666666666,0.3466666666666666,139,0.11768995
Penny Rheingans,Text2,0.333333333,0.1643835616438356,0.1643835616438356,0.1643835616438356,200,0.51896036
Penny Rheingans,Text3,0.458715596,0.3466666666666666,0.3466666666666666,0.3466666666666666,365,0.8945872
Marie desJardins,Text1,0.05,0.3414634146341463,0.3414634146341463,0.3414634146341463,148,0.5669425
Marie desJardins,Text2,0.442477876,0.075,0.075,0.075,351,0.87585795
Marie desJardins,Text3,0.472727273,0.3170731707317072,0.3170731707317072,0.3170731707317072,336,0.90205246
Carla E. Brodley,Text1,0.461538462,0.676923076923077,0.676923076923077,0.676923076923077,193,0.8079575
Carla E. Brodley,Text2,0.101694915,0.5079365079365079,0.5079365079365079,0.5079365079365079,167,0.57166684
Carla E. Brodley,Text3,0.382022472,0.6461538461538462,0.6461538461538462,0.6461538461538462,320,0.8737319
