Name,F1 Score 1,F1 Score 2,F1 Score 3
Ben Shneiderman,0.102564103,0.15,0.392523364
Fabian Beck,0.383561644,0.368421053,0.391304348
Mary Jean Harrold,0.361445783,0.416666667,0.377777778
Stephan Diehl,0.363636364,0.06557377,0.414634146
Daniel Weiskopf,0.407079646,0.224299065,0.481203008
Michael Burch,0.350515464,0.219512195,0.388349515
James A. Jones,0.425,0.1,0.372093023
Catherine Plaisant,0.32,0.358974359,0.448979592
Benjamin B. Bederson,0,0.061538462,0.414414414
Stuart K. Card,0.447058824,0.441860465,0.457142857
Achim Ebert,0.032258065,0.030769231,0.375
Mary C. Whitton,0.135135135,0.056338028,0.485981308
Henry Fuchs,0.098360656,0.235294118,0.454545455
Dieter Schmalstieg,0.024390244,0.023809524,0.480620155
Anna Celler,0.227272727,0.217391304,0.260869565
Ghassan Hamarneh,0.071428571,0.074074074,0.430379747
Xenophon Papademetris,0.092307692,0.205882353,0.387755102
Penny Rheingans,0.135135135,0.333333333,0.458715596
Marie desJardins,0.05,0.442477876,0.472727273
Carla E. Brodley,0.461538462,0.101694915,0.382022472
