Name,Generated Text 1 Length,Generated Text 2 Length,Generated Text 3 Length
Ben Shneiderman,148,159,306
Fabian Beck,193,209,264
Mary Jean Harrold,224,172,273
Stephan Diehl,149,112,227
Daniel Weiskopf,269,245,376
Michael Burch,249,165,278
James A. Jones,222,134,274
Catherine Plaisant,208,223,313
Benjamin B. Bederson,102,89,409
Stuart K. Card,265,259,365
Achim Ebert,90,113,318
Mary C. Whitton,156,119,349
Henry Fuchs,109,153,281
Dieter Schmalstieg,97,145,426
Anna Celler,92,114,234
Ghassan Hamarneh,139,126,263
Xenophon Papademetris,124,131,316
Penny Rheingans,139,200,365
Marie desJardins,148,351,336
Carla E. Brodley,193,167,320
