Name,ROUGE1_Generated_Text1,ROUGE2_Generated_Text1,ROUGEL_Generated_Text1,ROUGE1_Generated_Text2,ROUGE2_Generated_Text2,ROUGEL_Generated_Text2,ROUGE1_Generated_Text3,ROUGE2_Generated_Text3,ROUGEL_Generated_Text3
Ben Shneiderman,0.3,0.10256410256410255,0.225,0.34146341463414637,0.15,0.34146341463414637,0.5272727272727272,0.3888888888888889,0.49090909090909096
Fabian Beck,0.5277777777777777,0.37142857142857144,0.5,0.5066666666666667,0.3561643835616438,0.4800000000000001,0.5714285714285714,0.3820224719101123,0.5494505494505495
Mary Jean Harrold,0.5411764705882353,0.38554216867469876,0.5176470588235293,0.5945945945945946,0.4444444444444444,0.5675675675675675,0.6521739130434783,0.39999999999999997,0.5434782608695652
Stephan Diehl,0.48484848484848486,0.37500000000000006,0.48484848484848486,0.29508196721311475,0.06779661016949153,0.29508196721311475,0.6829268292682927,0.425,0.6097560975609756
Daniel Weiskopf,0.5045045045045046,0.40366972477064217,0.48648648648648657,0.39999999999999997,0.21359223300970875,0.39999999999999997,0.6564885496183205,0.4806201550387597,0.6106870229007634
Michael Burch,0.47916666666666663,0.3404255319148936,0.37499999999999994,0.3703703703703703,0.20253164556962025,0.3703703703703703,0.5686274509803921,0.37999999999999995,0.5490196078431373
James A. Jones,0.6,0.43589743589743585,0.5,0.36666666666666664,0.13793103448275862,0.3,0.5581395348837208,0.380952380952381,0.5116279069767442
Catherine Plaisant,0.49350649350649345,0.32,0.4675324675324675,0.5063291139240506,0.36363636363636365,0.48101265822784806,0.6262626262626263,0.4536082474226804,0.5858585858585857
Benjamin B. Bederson,0.2318840579710145,0.05970149253731343,0.2318840579710145,0.208955223880597,0.06153846153846154,0.208955223880597,0.6491228070175439,0.4285714285714286,0.5789473684210527
Stuart K. Card,0.5909090909090909,0.46511627906976744,0.5454545454545455,0.6292134831460674,0.4597701149425288,0.5617977528089888,0.6851851851851852,0.49056603773584906,0.6111111111111112
Achim Ebert,0.2222222222222222,0.0,0.19047619047619047,0.2727272727272727,0.03125,0.21212121212121213,0.5510204081632654,0.39583333333333337,0.5102040816326531
Mary C. Whitton,0.3636363636363636,0.16,0.3636363636363636,0.26666666666666666,0.0547945205479452,0.24000000000000002,0.6785714285714286,0.509090909090909,0.6071428571428571
Henry Fuchs,0.27692307692307694,0.09523809523809523,0.27692307692307694,0.4857142857142857,0.26470588235294124,0.45714285714285713,0.6,0.4772727272727273,0.5555555555555556
Dieter Schmalstieg,0.1839080459770115,0.023529411764705882,0.1839080459770115,0.26373626373626374,0.08988764044943821,0.26373626373626374,0.6716417910447761,0.5151515151515151,0.582089552238806
Anna Celler,0.3333333333333333,0.2,0.3333333333333333,0.36363636363636365,0.19047619047619044,0.3181818181818182,0.4776119402985074,0.2769230769230769,0.3283582089552239
Ghassan Hamarneh,0.4,0.07547169811320754,0.32727272727272727,0.339622641509434,0.0784313725490196,0.3018867924528302,0.5974025974025974,0.45333333333333337,0.5454545454545455
Xenophon Papademetris,0.3492063492063492,0.06557377049180327,0.3174603174603175,0.42424242424242425,0.18749999999999997,0.39393939393939387,0.5416666666666666,0.38297872340425526,0.5
Penny Rheingans,0.3466666666666666,0.1643835616438356,0.3466666666666666,0.5116279069767442,0.380952380952381,0.4651162790697674,0.6071428571428571,0.4727272727272727,0.5892857142857142
Marie desJardins,0.34146341463414637,0.07500000000000001,0.31707317073170727,0.5913043478260869,0.4601769911504424,0.5043478260869565,0.6250000000000001,0.509090909090909,0.5892857142857143
Carla E. Brodley,0.676923076923077,0.5079365079365079,0.6461538461538462,0.47457627118644063,0.14035087719298245,0.4067796610169491,0.6292134831460674,0.41379310344827586,0.4943820224719101
