Author,Generated Text 1,Generated Text 2,Generated Text 3
Ben Shneiderman,0.903125,0.7504142,0.90528286
Fabian Beck,0.9309611,0.94123036,0.93698263
Mary Jean Harrold,0.9179581,0.9407952,0.9473845
Stephan Diehl,0.9314795,0.9171514,0.9174403
Daniel Weiskopf,0.9246344,0.9418548,0.93233305
Michael Burch,0.93898094,0.9102162,0.9354647
James A. Jones,0.9223266,0.8879791,0.9606552
Catherine Plaisant,0.9495724,0.9098889,0.9354175
Benjamin B. Bederson,0.92078733,0.9473558,0.95460385
Stuart K. Card,0.90911824,0.9533048,0.9246632
Achim Ebert,0.8715592,0.9545246,0.908599
Mary C. Whitton,0.8999538,0.9454624,0.94479114
Henry Fuchs,0.9233578,0.7921942,0.8897643
Dieter Schmalstieg,0.93248534,0.93468475,0.94550204
Anna Celler,0.9329819,0.9228396,0.8930273
Ghassan Hamarneh,0.93667156,0.9317784,0.9199788
Xenophon Papademetris,0.954586,0.95097095,0.94564193
Penny Rheingans,0.9586247,0.8690236,0.9033558
Marie desJardins,0.95440906,0.9270573,0.9553745
Carla E. Brodley,0.91396767,0.94659555,0.940402
