Author,Num_Adjectives,Top_Adjective_1,Top_Adjective_2
Ben Shneiderman,12,frequent,1
 Fabian Beck,8,frequent,1
Mary Jean Harrold,5,frequent,1
Stephan Diehl,13,frequent,1
Daniel Weiskopf,5,frequent,1
Michael Burch,3,frequent,1
James A. Jones,6,frequent,1
Catherine Plaisant,6,frequent,1
Benjamin B. Bederson,10,frequent,1
Stuart K. Card,7,frequent,1
Achim Ebert,6,frequent,1
Mary C. Whitton,6,frequent,1
Henry Fuchs,7,frequent,1
Dieter Schmalstieg,8,frequent,1
Anna Celler,5,frequent,1
Ghassan Hamarneh,10,frequent,1
Xenophon Papademetris,10,frequent,1
Penny Rheingans,10,frequent,1
Marie desJardins,9,frequent,1
Carla E. Brodley,7,frequent,1
