Author,Num_Adjectives,Top_Adjective_1,Top_Adjective_2
Ben Shneiderman,11,frequent,1
 Fabian Beck,8,frequent,1
Mary Jean Harrold,8,frequent,1
Stephan Diehl,11,frequent,1
Daniel Weiskopf,7,frequent,1
Michael Burch,10,frequent,1
James A. Jones,9,frequent,1
Catherine Plaisant,8,frequent,1
Benjamin B. Bederson,12,frequent,1
Stuart K. Card,7,frequent,1
Achim Ebert,7,frequent,1
Mary C. Whitton,8,frequent,1
Henry Fuchs,8,frequent,1
Dieter Schmalstieg,13,frequent,1
Anna Celler,8,frequent,1
Ghassan Hamarneh,10,frequent,1
Xenophon Papademetris,10,frequent,1
Penny Rheingans,16,frequent,1
Marie desJardins,7,frequent,1
Carla E. Brodley,9,frequent,1
