Author,Num_Adjectives,Top_Adjective_1,Top_Adjective_2
Ben Shneiderman,12,frequent,1
 Fabian Beck,8,frequent,1
Mary Jean Harrold,7,frequent,1
Stephan Diehl,8,frequent,1
Daniel Weiskopf,8,frequent,1
Michael Burch,6,frequent,1
James A. Jones,7,frequent,1
Catherine Plaisant,10,frequent,1
Benjamin B. Bederson,12,frequent,1
Stuart K. Card,8,frequent,1
Achim Ebert,7,frequent,1
Mary C. Whitton,8,frequent,1
Henry Fuchs,9,frequent,1
Dieter Schmalstieg,6,frequent,1
Anna Celler,7,frequent,1
Ghassan Hamarneh,7,frequent,1
Xenophon Papademetris,8,frequent,1
Penny Rheingans,6,frequent,1
Marie desJardins,4,frequent,1
Carla E. Brodley,8,frequent,1
