Name,Model,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Ben Shneiderman,ada,Text1,0.040609137,0.306930693,0.06,0.158415842,965,0.935546,0.0041
Ben Shneiderman,ada,Text2,0.114942529,0.346368715,0.146892655,0.167597765,438,0.9517466,0.0184
Ben Shneiderman,ada,Text3,0.040540541,0.17218543,0.040268456,0.119205298,276,0.87028486,0.0
Ben Shneiderman,curie,Text1,0.169642857,0.495652174,0.192982456,0.27826087,965,0.9685304,0.1048
Ben Shneiderman,curie,Text2,0.202531646,0.487603306,0.225,0.338842975,602,0.976721,0.1123
Ben Shneiderman,curie,Text3,0.15,0.294478528,0.149068323,0.220858896,669,0.905334,0.007
Ben Shneiderman,davinci,Text1,0.196428571,0.51754386,0.212389381,0.350877193,965,0.0,0.1236
Ben Shneiderman,davinci,Text2,0.0,0.028169014,0.0,0.028169014,591,0.0,0.0
Ben Shneiderman,davinci,Text3,0.28436019,0.546296296,0.299065421,0.37962963,56,0.0,0.1164
Ben Shneiderman,turbo,Text1,0.248,0.596899225,0.2734375,0.333333333,965,0.9814672,0.1493
Ben Shneiderman,turbo,Text2,0.196581197,0.566666667,0.210084034,0.341666667,831,0.97729,0.1245
Ben Shneiderman,turbo,Text3,0.271493213,0.566371681,0.285714286,0.371681416,675,0.962759,0.1227
Fabian Beck,ada,Text1,0.163636364,0.336283186,0.198198198,0.265486726,610,0.94127196,0.013
Fabian Beck,ada,Text2,0.033898305,0.309392265,0.055865922,0.17679558,115,0.9196657,0.0172
Fabian Beck,ada,Text3,0.083916084,0.333333333,0.084507042,0.208333333,581,0.9376546,0.0097
Fabian Beck,curie,Text1,0.174863388,0.542553191,0.204301075,0.329787234,610,0.97723144,0.0745
Fabian Beck,curie,Text2,0.134228188,0.513157895,0.16,0.302631579,614,0.9438051,0.0675
Fabian Beck,curie,Text3,0.09,0.378640777,0.098039216,0.213592233,387,0.9545248,0.0238
Fabian Beck,davinci,Text1,0.285714286,0.625,0.315789474,0.416666667,610,0.977437138557434,0.1413
Fabian Beck,davinci,Text2,0.137931034,0.369747899,0.136752137,0.235294118,646,0.8377929925918579,0.003
Fabian Beck,davinci,Text3,0.220858896,0.597560976,0.234567901,0.353658537,221,0.9630605578422546,0.1262
Fabian Beck,turbo,Text1,0.241071429,0.560344828,0.252173913,0.336206897,610,0.9716525,0.1145
Fabian Beck,turbo,Text2,0.269430052,0.615384615,0.300518135,0.441025641,935,0.97202665,0.1569
Fabian Beck,turbo,Text3,0.222222222,0.57591623,0.232804233,0.387434555,663,0.96617264,0.1462
Mary Jean Harrold,ada,Text1,0.096774194,0.304,0.097560976,0.192,585,0.94307774,0.0148
Mary Jean Harrold,ada,Text2,0.052173913,0.285714286,0.11965812,0.117647059,262,0.86320883,0.0166
Mary Jean Harrold,ada,Text3,0.040816327,0.16,0.040816327,0.12,249,0.7596376,0.0003
Mary Jean Harrold,curie,Text1,0.113636364,0.417582418,0.144444444,0.241758242,585,0.95735663,0.065
Mary Jean Harrold,curie,Text2,0.069364162,0.413793103,0.069767442,0.195402299,642,0.9544995,0.0211
Mary Jean Harrold,curie,Text3,0.091428571,0.460674157,0.113636364,0.258426966,543,0.9700183,0.0586
Mary Jean Harrold,davinci,Text1,0.214689266,0.528089888,0.215909091,0.359550562,585,0.9455994963645936,0.1499
Mary Jean Harrold,davinci,Text2,0.019047619,0.363636364,0.055555556,0.218181818,594,0.6269288063049316,0.0011
Mary Jean Harrold,davinci,Text3,0.238095238,0.604651163,0.258823529,0.418604651,197,0.9540358185768129,0.1492
Mary Jean Harrold,turbo,Text1,0.234146341,0.571428571,0.25,0.40952381,585,0.9667159,0.13
Mary Jean Harrold,turbo,Text2,0.23655914,0.56684492,0.237837838,0.406417112,790,0.94477475,0.1193
