Name,Mean F1 Score,Mean Rouge1,Mean Rouge2,Mean RougeL,Mean Length,Mean Vec2,Mean Bleu
Ben Shneiderman,0.23869147000000002,0.5766458576666667,0.25641194,0.3488938053333333,823.6666666666666,0.9738387333333334,0.13216666666666665
Fabian Beck,0.24424123433333333,0.583881891,0.26183209366666665,0.38822236433333335,736.0,0.9699505966666667,0.1392
Mary Jean Harrold,0.23803057466666666,0.5947022746666667,0.250331911,0.41086919633333335,677.6666666666666,0.9621242166666667,0.12910000000000002
Stephan Diehl,0.2557644433333333,0.5999862380000001,0.282174264,0.42331970999999996,724.0,0.9692286866666667,0.15986666666666668
Daniel Weiskopf,0.24718296733333334,0.586277285,0.26779164166666664,0.37827544366666666,707.6666666666666,0.97440849,0.13126666666666667
Michael Burch,0.26199395266666664,0.5873445856666667,0.293251133,0.42296097433333335,764.3333333333334,0.9704304666666667,0.14536666666666667
James A. Jones,0.25436367099999996,0.559715648,0.27327939233333337,0.40089912033333336,831.3333333333334,0.9490499333333333,0.15669999999999998
Catherine Plaisant,0.2807175943333333,0.569546248,0.29031049166666667,0.4275339456666667,850.3333333333334,0.9735972833333334,0.18823333333333334
Benjamin B. Bederson,0.21869221866666666,0.576095347,0.23631167066666667,0.366142096,731.6666666666666,0.9641878666666667,0.14126666666666668
Stuart K. Card,0.311279587,0.6436531333333333,0.34189136033333334,0.39148985966666666,736.0,0.97236981,0.17936666666666667
Achim Ebert,0.26421385033333333,0.5661792026666667,0.2918593523333333,0.34948387666666664,778.3333333333334,0.96683091,0.15380000000000002
Mary C. Whitton,0.2976882453333333,0.645523072,0.32710981766666664,0.435833055,690.0,0.97373578,0.1835
Henry Fuchs,0.26138153133333336,0.6071498393333333,0.28595998699999997,0.396581526,702.6666666666666,0.9681846,0.14546666666666666
Dieter Schmalstieg,0.21580668066666667,0.5340520323333333,0.231279636,0.3579318716666666,955.3333333333334,0.9749320666666667,0.1087
Anna Celler,0.19992700733333335,0.5122510396666667,0.21949621200000002,0.29257132133333336,592.6666666666666,0.9533539833333333,0.07403333333333334
Ghassan Hamarneh,0.32613862099999996,0.664265717,0.35432795366666664,0.4585235783333333,675.3333333333334,0.9794450100000001,0.20566666666666666
Xenophon Papademetris,0.30695808333333335,0.6292291813333333,0.333859208,0.426307851,690.3333333333334,0.9758585333333333,0.18636666666666668
Penny Rheingans,0.24366511533333335,0.5701349563333333,0.2591565963333333,0.3780850513333333,925.3333333333334,0.9607067499999999,0.15026666666666666
Marie desJardins,0.26205044966666663,0.5737610253333333,0.2750260703333333,0.4084005706666667,700.0,0.9727792833333333,0.15406666666666666
Carla E. Brodley,0.31306065433333335,0.656364811,0.321753267,0.444811589,627.6666666666666,0.9603251966666667,0.2279
