Name,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Ben Shneiderman,Text1,0.248,0.596899225,0.2734375,0.333333333,965,0.9814672,0.1493
Ben Shneiderman,Text2,0.196581197,0.566666667,0.210084034,0.341666667,831,0.97729,0.1245
Ben Shneiderman,Text3,0.271493213,0.566371681,0.285714286,0.371681416,675,0.962759,0.1227
Fabian Beck,Text1,0.241071429,0.560344828,0.252173913,0.336206897,610,0.9716525,0.1145
Fabian Beck,Text2,0.269430052,0.615384615,0.300518135,0.441025641,935,0.97202665,0.1569
Fabian Beck,Text3,0.222222222,0.57591623,0.232804233,0.387434555,663,0.96617264,0.1462
Mary Jean Harrold,Text1,0.234146341,0.571428571,0.25,0.40952381,585,0.9667159,0.13
Mary Jean Harrold,Text2,0.23655914,0.56684492,0.237837838,0.406417112,790,0.94477475,0.1193
Mary Jean Harrold,Text3,0.243386243,0.645833333,0.263157895,0.416666667,658,0.974882,0.138
Stephan Diehl,Text1,0.264150943,0.6359447,0.297674419,0.423963134,608,0.98140395,0.1693
Stephan Diehl,Text2,0.274881517,0.601851852,0.308411215,0.435185185,792,0.97079265,0.1719
Stephan Diehl,Text3,0.22826087,0.562162162,0.240437158,0.410810811,772,0.95548946,0.1384
Daniel Weiskopf,Text1,0.22907489,0.586206897,0.252173913,0.362068966,863,0.9801439,0.1413
Daniel Weiskopf,Text2,0.269230769,0.58490566,0.285714286,0.386792453,682,0.96226907,0.1214
Daniel Weiskopf,Text3,0.243243243,0.587719298,0.265486726,0.385964912,578,0.9808125,0.1311
Michael Burch,Text1,0.233766234,0.536170213,0.266094421,0.4,571,0.97598004,0.1226
Michael Burch,Text2,0.261306533,0.591133005,0.298507463,0.413793103,960,0.97119766,0.1448
Michael Burch,Text3,0.290909091,0.634730539,0.315151515,0.45508982,762,0.9641137,0.1687
James A. Jones,Text1,0.210909091,0.482269504,0.221428571,0.354609929,578,0.9787192,0.1074
James A. Jones,Text2,0.274725275,0.568306011,0.309392265,0.448087432,1290,0.9312128,0.1732
James A. Jones,Text3,0.277456647,0.628571429,0.289017341,0.4,626,0.9372178,0.1895
Catherine Plaisant,Text1,0.250980392,0.524714829,0.268199234,0.3878327,771,0.9722125,0.1568
Catherine Plaisant,Text2,0.319327731,0.617886179,0.336065574,0.479674797,935,0.9777352,0.2286
Catherine Plaisant,Text3,0.27184466,0.566037736,0.266666667,0.41509434,845,0.97084415,0.1793
Benjamin B. Bederson,Text1,0.208695652,0.591666667,0.226890756,0.358333333,754,0.9759166,0.1379
Benjamin B. Bederson,Text2,0.186915888,0.520547945,0.202764977,0.356164384,797,0.9484398,0.1277
Benjamin B. Bederson,Text3,0.260465116,0.616071429,0.279279279,0.383928571,644,0.9682072,0.1582
Stuart K. Card,Text1,0.236641221,0.577617329,0.269090909,0.368231047,698,0.9757167,0.1324
Stuart K. Card,Text2,0.285714286,0.628571429,0.312138728,0.32,1083,0.95609033,0.1212
Stuart K. Card,Text3,0.411483254,0.724770642,0.444444444,0.486238532,427,0.9853024,0.2845
Achim Ebert,Text1,0.239700375,0.534296029,0.269090909,0.368231047,602,0.98013383,0.1136
Achim Ebert,Text2,0.294117647,0.578034682,0.315789474,0.358381503,1189,0.97313863,0.2034
Achim Ebert,Text3,0.258823529,0.586206897,0.290697674,0.32183908,544,0.94722027,0.1444
Mary C. Whitton,Text1,0.311688312,0.638655462,0.347457627,0.470588235,642,0.9848365,0.1816
Mary C. Whitton,Text2,0.239130435,0.624338624,0.267379679,0.380952381,871,0.965407,0.1415
Mary C. Whitton,Text3,0.342245989,0.67357513,0.366492147,0.455958549,557,0.97096384,0.2274
Henry Fuchs,Text1,0.221153846,0.588785047,0.245283019,0.38317757,614,0.9735593,0.113
