Author,Generated Text 1,Generated Text 2,Generated Text 3
Ben Shneiderman,0.935546,0.9517466,0.87028486
Fabian Beck,0.94127196,0.9196657,0.9376546
Mary Jean Harrold,0.94307774,0.86320883,0.7596376
Stephan Diehl,0.95517874,0.9322825,0.94218993
Daniel Weiskopf,0.8108463,0.87586653,0.8108463
Michael Burch,0.9014732,0.30723578,0.95379233
James A. Jones,0.9358047,0.93392783,0.9676492
Catherine Plaisant,0.9076729,0.9101455,0.8784434
Benjamin B. Bederson,0.94768906,0.9072623,0.9304578
Stuart K. Card,0.9676049,0.9525046,0.94599426
Achim Ebert,0.9510643,0.96049494,0.90000075
Mary C. Whitton,0.94646275,0.9474954,0.96637267
Henry Fuchs,0.8408944,0.9070526,0.9198406
Dieter Schmalstieg,0.95633376,0.9268948,0.86932546
Anna Celler,0.932701,0.93324316,0.90898323
Ghassan Hamarneh,0.9155387,0.8375161,0.94504344
Xenophon Papademetris,0.95646936,0.9538889,0.847896
Penny Rheingans,0.93248165,0.8578198,0.9486559
Marie desJardins,0.9499302,0.94249666,0.9548945
Carla E. Brodley,0.90723795,0.9569005,0.9646333
