Name,F1 Score 1,F1 Score 2,F1 Score 3
Ben Shneiderman,0.040609137,0.114942529,0.040540541
Fabian Beck,0.163636364,0.033898305,0.083916084
Mary Jean Harrold,0.096774194,0.052173913,0.040816327
Stephan Diehl,0.116731518,0.093567251,0.05907173
Daniel Weiskopf,0.088888889,0.028985507,0.075757576
Michael Burch,0.047244094,0.043956044,0
James A. Jones,0.049382716,0.156862745,0.04
Catherine Plaisant,0.057553957,0.111111111,0.024691358
Benjamin B. Bederson,0.189473684,0.012195122,0.016877637
Stuart K. Card,0.21192053,0.124223602,0.113207547
Achim Ebert,0.14159292,0.29787234,0.077669903
Mary C. Whitton,0.069444444,0.143712575,0.144927536
Henry Fuchs,0.016528926,0.125,0.084210526
Dieter Schmalstieg,0.097087379,0.079470199,0.031007752
Anna Celler,0.131147541,0.126984127,0.033613445
Ghassan Hamarneh,0,0.094339623,0.082758621
Xenophon Papademetris,0.154929577,0.059701493,0
Penny Rheingans,0.081871345,0.013071895,0.110429448
Marie desJardins,0.028368794,0,0.014285714
Carla E. Brodley,0.170731707,0.108433735,0.064102564
