Name,ROUGE2_Generated_Text1,ROUGE2_Generated_Text2,ROUGE2_Generated_Text3
Ben Shneiderman,0.06,0.146892655,0.040268456
Fabian Beck,0.198198198,0.055865922,0.084507042
Mary Jean Harrold,0.097560976,0.11965812,0.040816327
Stephan Diehl,0.126865672,0.126436782,0.075
Daniel Weiskopf,0.088888889,0.028985507,0.075757576
Michael Burch,0.078125,0.043478261,0.071856287
James A. Jones,0.060606061,0.170616114,0.053333333
Catherine Plaisant,0.056737589,0.124031008,0.047619048
Benjamin B. Bederson,0.225641026,0.035928144,0.016806723
Stuart K. Card,0.243589744,0.143712575,0.147239264
Achim Ebert,0.173913043,0.309859155,0.077669903
Mary C. Whitton,0.12244898,0.162790698,0.183098592
Henry Fuchs,0.016528926,0.144444444,0.11
Dieter Schmalstieg,0.125,0.105960265,0.046511628
Anna Celler,0.146341463,0.134020619,0.049180328
Ghassan Hamarneh,0,0.181818182,0.081081081
Xenophon Papademetris,0.20979021,0.060150376,0.015267176
Penny Rheingans,0.081395349,0.012738854,0.110429448
Marie desJardins,0.055944056,0,0.056338028
Carla E. Brodley,0.178571429,0.128654971,0.101265823
