Name,Generated Text 1,Generated Text 2,Generated Text 3
Ben Shneiderman,0.9685304,0.976721,0.905334
Fabian Beck,0.97723144,0.9438051,0.9545248
Mary Jean Harrold,0.95735663,0.9544995,0.9700183
Stephan Diehl,0.97177225,0.9761047,0.9822151
Daniel Weiskopf,0.9702118,0.95820314,0.7171744
Michael Burch,0.9688158,0.9682176,0.97877955
James A. Jones,0.9518246,0.96935487,0.9486254
Catherine Plaisant,0.97097874,0.95623213,0.9566029
Benjamin B. Bederson,0.94785,0.95376533,0.9683707
Stuart K. Card,0.9570051,0.96965957,0.7622523
Achim Ebert,0.9809884,0.92439693,0.96751165
Mary C. Whitton,0.97625834,0.9424324,0.9568134
Henry Fuchs,0.9582943,0.95230293,0.9521404
Dieter Schmalstieg,0.9507059,0.950025,0.9325188
Anna Celler,0.93991053,0.9612581,0.9649404
Ghassan Hamarneh,0.9772244,0.95236284,0.95543075
Xenophon Papademetris,0.9606434,0.9723445,0.9383982
Penny Rheingans,0.97846,0.9442278,0.9432935
Marie desJardins,0.96624213,0.95006865,0.9595063
Carla E. Brodley,0.9779615,0.9559202,0.973299
