Name,F1 Score 1,F1 Score 2,F1 Score 3
Ben Shneiderman,0.169642857,0.202531646,0.15
Fabian Beck,0.174863388,0.134228188,0.09
Mary Jean Harrold,0.113636364,0.069364162,0.091428571
Stephan Diehl,0.154639175,0.155251142,0.234636872
Daniel Weiskopf,0.146938776,0.114537445,0
Michael Burch,0.178571429,0.209424084,0.202247191
James A. Jones,0.103092784,0.171428571,0.18
Catherine Plaisant,0.261306533,0.15,0.155688623
Benjamin B. Bederson,0.161434978,0.145454545,0.101851852
Stuart K. Card,0.272727273,0.222222222,0.015037594
Achim Ebert,0.240343348,0.157894737,0.195402299
Mary C. Whitton,0.158590308,0.134831461,0.107843137
Henry Fuchs,0.194285714,0.104712042,0.179775281
Dieter Schmalstieg,0.069364162,0.104575163,0.126213592
Anna Celler,0.184782609,0.260869565,0.242038217
Ghassan Hamarneh,0.205882353,0.168539326,0.128787879
Xenophon Papademetris,0.110552764,0.161538462,0.157142857
Penny Rheingans,0.122605364,0.157894737,0.053763441
Marie desJardins,0.222222222,0.176870748,0.181818182
Carla E. Brodley,0.261306533,0.213953488,0.184331797
