Name,ROUGE2_Generated_Text1,ROUGE2_Generated_Text2,ROUGE2_Generated_Text3
Ben Shneiderman,0.192982456,0.225,0.149068323
Fabian Beck,0.204301075,0.16,0.098039216
Mary Jean Harrold,0.144444444,0.069767442,0.113636364
Stephan Diehl,0.175257732,0.188340807,0.263736264
Daniel Weiskopf,0.185483871,0.130434783,0
Michael Burch,0.212389381,0.229166667,0.255555556
James A. Jones,0.113402062,0.179775281,0.189054726
Catherine Plaisant,0.274509804,0.147783251,0.153846154
Benjamin B. Bederson,0.183406114,0.168888889,0.135135135
Stuart K. Card,0.287292818,0.233333333,0.014705882
Achim Ebert,0.277310924,0.194805195,0.205714286
Mary C. Whitton,0.173160173,0.165745856,0.123222749
Henry Fuchs,0.224719101,0.113989637,0.209944751
Dieter Schmalstieg,0.091428571,0.115015974,0.155339806
Anna Celler,0.22459893,0.269503546,0.264150943
Ghassan Hamarneh,0.229665072,0.194594595,0.153846154
Xenophon Papademetris,0.149253731,0.204545455,0.185714286
Penny Rheingans,0.136882129,0.177777778,0.074468085
Marie desJardins,0.242774566,0.187919463,0.224852071
Carla E. Brodley,0.27,0.230414747,0.215246637
