Name,Existing Text Length,Generated Text 1 Length,Generated Text 2 Length,Generated Text 3 Length
Ben Shneiderman,965,591,56,554
Fabian Beck,610,646,221,506
Mary Jean Harrold,585,594,197,559
Stephan Diehl,608,560,378,510
Daniel Weiskopf,863,688,155,590
Michael Burch,571,437,464,515
James A. Jones,578,603,318,488
Catherine Plaisant,771,710,473,575
Benjamin B. Bederson,754,511,368,524
Stuart K. Card,698,612,125,511
Achim Ebert,602,546,252,586
Mary C. Whitton,642,504,425,561
Henry Fuchs,614,510,279,444
Dieter Schmalstieg,834,622,46,600
Anna Celler,483,530,58,347
Ghassan Hamarneh,630,619,116,611
Xenophon Papademetris,644,643,52,538
Penny Rheingans,789,643,93,459
Marie desJardins,570,498,191,521
Carla E. Brodley,585,535,379,647
