Name,Mean F1 Score,Mean Rouge1,Mean Rouge2,Mean RougeL,Mean Length,Mean Vec2,Mean Bleu
Ben Shneiderman,0.16026292033333334,0.3640030566666666,0.170484934,0.2528919456666667,537.3333333333334,0.0,0.08
Fabian Beck,0.21483473866666666,0.530769625,0.229036504,0.33520644066666666,492.3333333333333,0.9260968963305155,0.09016666666666667
Mary Jean Harrold,0.15727737433333333,0.4987924716666667,0.17676272533333334,0.3321123436666667,458.6666666666667,0.8421880404154459,0.10006666666666668
Stephan Diehl,0.23287083266666667,0.5760052926666667,0.265222649,0.41591099933333336,515.3333333333334,0.9268188079198202,0.1109
Daniel Weiskopf,0.15518769766666665,0.41858384,0.16382446666666667,0.28604111866666665,568.6666666666666,0.9116684198379517,0.07990000000000001
Michael Burch,0.24714919233333332,0.6051278123333333,0.26569305933333337,0.41034507,490.6666666666667,0.9611712694168091,0.136
James A. Jones,0.278547685,0.5573093003333334,0.2740530266666667,0.4462601253333333,499.6666666666667,0.9428116281827291,0.17226666666666668
Catherine Plaisant,0.27536075033333335,0.5152918866666667,0.26322104166666666,0.4019598873333334,651.3333333333334,0.9519637028376261,0.13463333333333333
Benjamin B. Bederson,0.21082504233333332,0.5263774773333333,0.2135943863333333,0.370198472,544.3333333333334,0.8920310934384664,0.0913
Stuart K. Card,0.19099942933333333,0.462881699,0.222393238,0.313952365,478.3333333333333,0.9052913188934326,0.12136666666666666
Achim Ebert,0.258757041,0.564630073,0.27652257766666666,0.3553711093333333,466.6666666666667,0.9401955803235372,0.14556666666666665
Mary C. Whitton,0.307382298,0.603245266,0.31638225966666667,0.4049780193333333,523.6666666666666,0.9538203676541647,0.16393333333333335
Henry Fuchs,0.2702437153333333,0.5581888746666667,0.2743585,0.39573612999999996,467.6666666666667,0.9439648191134135,0.13536666666666666
Dieter Schmalstieg,0.15359477133333332,0.371298034,0.16339869266666665,0.19977699833333332,500.6666666666667,0.0,0.08446666666666668
Anna Celler,0.15556028666666666,0.4073379196666667,0.15741833933333335,0.265686888,357.0,0.0,0.08539999999999999
Ghassan Hamarneh,0.20121832399999998,0.479717468,0.22034881766666667,0.35735725933333334,455.0,0.910105288028717,0.15016666666666667
Xenophon Papademetris,0.216233986,0.4384188416666667,0.23101884433333333,0.324361603,446.3333333333333,0.0,0.13849999999999998
Penny Rheingans,0.176994616,0.40052512233333326,0.182931713,0.30033416900000004,508.3333333333333,0.8415626883506775,0.12216666666666666
Marie desJardins,0.2542201153333334,0.525421705,0.25224609566666667,0.38908792366666667,419.6666666666667,0.9345281521479288,0.13226666666666667
Carla E. Brodley,0.3542728293333333,0.643223028,0.35621257666666667,0.5077871573333333,499.6666666666667,0.948346753915151,0.23656666666666668
