Name,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Ben Shneiderman,Text1,0.196428571,0.51754386,0.212389381,0.350877193,965,0.0,0.1236
Ben Shneiderman,Text2,0.0,0.028169014,0.0,0.028169014,591,0.0,0.0
Ben Shneiderman,Text3,0.28436019,0.546296296,0.299065421,0.37962963,56,0.0,0.1164
Fabian Beck,Text1,0.285714286,0.625,0.315789474,0.416666667,610,0.977437138557434,0.1413
Fabian Beck,Text2,0.137931034,0.369747899,0.136752137,0.235294118,646,0.8377929925918579,0.003
Fabian Beck,Text3,0.220858896,0.597560976,0.234567901,0.353658537,221,0.9630605578422546,0.1262
Mary Jean Harrold,Text1,0.214689266,0.528089888,0.215909091,0.359550562,585,0.9455994963645936,0.1499
Mary Jean Harrold,Text2,0.019047619,0.363636364,0.055555556,0.218181818,594,0.6269288063049316,0.0011
Mary Jean Harrold,Text3,0.238095238,0.604651163,0.258823529,0.418604651,197,0.9540358185768129,0.1492
Stephan Diehl,Text1,0.24137931,0.629213483,0.295454545,0.415730337,608,0.9767899513244628,0.1616
Stephan Diehl,Text2,0.156028369,0.5,0.197183099,0.388888889,560,0.8535232543945312,0.0095
Stephan Diehl,Text3,0.301204819,0.598802395,0.303030303,0.443113772,378,0.9501432180404664,0.1616
Daniel Weiskopf,Text1,0.193832599,0.513043478,0.210526316,0.347826087,863,0.9607599973678588,0.1173
Daniel Weiskopf,Text2,0.068965517,0.231292517,0.068965517,0.163265306,688,0.808445394039154,0.0002
Daniel Weiskopf,Text3,0.202764977,0.511415525,0.211981567,0.347031963,155,0.965799868106842,0.1222
Michael Burch,Text1,0.25,0.60130719,0.264900662,0.405228758,571,0.9513745903968812,0.1189
Michael Burch,Text2,0.25974026,0.632258065,0.274509804,0.425806452,437,0.9600133895874025,0.1493
Michael Burch,Text3,0.231707317,0.581818182,0.257668712,0.4,464,0.9721258282661438,0.1398
James A. Jones,Text1,0.244444444,0.541436464,0.245810056,0.397790055,578,0.9653664231300354,0.1824
James A. Jones,Text2,0.272727273,0.573529412,0.268656716,0.485294118,603,0.9410070776939392,0.1526
James A. Jones,Text3,0.318471338,0.556962025,0.307692308,0.455696203,318,0.9220613837242126,0.1818
Catherine Plaisant,Text1,0.232142857,0.532751092,0.22907489,0.358078603,771,0.9797236919403076,0.1674
Catherine Plaisant,Text2,0.290909091,0.488372093,0.270588235,0.441860465,710,0.9205588102340698,0.0586
Catherine Plaisant,Text3,0.303030303,0.524752475,0.29,0.405940594,473,0.955608606338501,0.1779
Benjamin B. Bederson,Text1,0.189473684,0.536082474,0.197916667,0.371134021,754,0.9224551320075988,0.1131
Benjamin B. Bederson,Text2,0.220779221,0.49382716,0.2125,0.345679012,511,0.8318108916282654,0.0448
Benjamin B. Bederson,Text3,0.222222222,0.549222798,0.230366492,0.393782383,368,0.9218272566795348,0.116
Stuart K. Card,Text1,0.309278351,0.58,0.323232323,0.47,698,0.958175778388977,0.196
Stuart K. Card,Text2,0.016528926,0.23255814,0.047244094,0.124031008,612,0.8048667311668396,0.0003
Stuart K. Card,Text3,0.247191011,0.576086957,0.296703297,0.347826087,125,0.9528314471244812,0.1678
Achim Ebert,Text1,0.269005848,0.571428571,0.289017341,0.422857143,602,0.9588890671730042,0.1934
Achim Ebert,Text2,0.245901639,0.507936508,0.258064516,0.285714286,546,0.8985170722007751,0.0428
Achim Ebert,Text3,0.261363636,0.61452514,0.282485876,0.357541899,252,0.9631806015968324,0.2005
Mary C. Whitton,Text1,0.323699422,0.621468927,0.331428571,0.406779661,642,0.9727612137794496,0.1509
Mary C. Whitton,Text2,0.309677419,0.625766871,0.322981366,0.45398773,504,0.934320032596588,0.1738
Mary C. Whitton,Text3,0.288770053,0.5625,0.294736842,0.354166667,425,0.9543798565864564,0.1671
Henry Fuchs,Text1,0.245810056,0.585635359,0.245810056,0.386740331,614,0.9508075714111328,0.1738
Henry Fuchs,Text2,0.308823529,0.54676259,0.321167883,0.402877698,510,0.9280883073806764,0.0954
