Name,BLEU_1,BLEU_2,BLEU_3
Ben Shneiderman,0.1493,0.1245,0.1227
Fabian Beck,0.1145,0.1569,0.1462
Mary Jean Harrold,0.1300,0.1193,0.1380
Stephan Diehl,0.1693,0.1719,0.1384
Daniel Weiskopf,0.1413,0.1214,0.1311
Michael Burch,0.1226,0.1448,0.1687
James A. Jones,0.1074,0.1732,0.1895
Catherine Plaisant,0.1568,0.2286,0.1793
Benjamin B. Bederson,0.1379,0.1277,0.1582
Stuart K. Card,0.1324,0.1212,0.2845
Achim Ebert,0.1136,0.2034,0.1444
Mary C. Whitton,0.1816,0.1415,0.2274
Henry Fuchs,0.1130,0.1500,0.1734
Dieter Schmalstieg,0.1025,0.1059,0.1177
Anna Celler,0.0882,0.0927,0.0412
Ghassan Hamarneh,0.1792,0.2243,0.2135
Xenophon Papademetris,0.1632,0.2089,0.1870
Penny Rheingans,0.1059,0.1880,0.1569
Marie desJardins,0.0955,0.1896,0.1771
Carla E. Brodley,0.2071,0.2300,0.2466
