Name,Existing Text Length,Generated Text 1 Length,Generated Text 2 Length,Generated Text 3 Length
Ben Shneiderman,965,831,675,622
Fabian Beck,610,935,663,656
Mary Jean Harrold,585,790,658,666
Stephan Diehl,608,792,772,607
Daniel Weiskopf,863,682,578,688
Michael Burch,571,960,762,565
James A. Jones,578,1290,626,570
Catherine Plaisant,771,935,845,662
Benjamin B. Bederson,754,797,644,721
Stuart K. Card,698,1083,427,694
Achim Ebert,602,1189,544,560
Mary C. Whitton,642,871,557,601
Henry Fuchs,614,738,756,598
Dieter Schmalstieg,834,1493,539,577
Anna Celler,483,837,458,439
Ghassan Hamarneh,630,787,609,685
Xenophon Papademetris,644,801,626,813
Penny Rheingans,789,1367,620,693
Marie desJardins,570,894,636,595
Carla E. Brodley,585,705,593,582
