Name,ROUGEL_Generated_Text1,ROUGEL_Generated_Text2,ROUGEL_Generated_Text3
Ben Shneiderman,0.333333333,0.341666667,0.371681416
Fabian Beck,0.336206897,0.441025641,0.387434555
Mary Jean Harrold,0.40952381,0.406417112,0.416666667
Stephan Diehl,0.423963134,0.435185185,0.410810811
Daniel Weiskopf,0.362068966,0.386792453,0.385964912
Michael Burch,0.4,0.413793103,0.45508982
James A. Jones,0.354609929,0.448087432,0.4
Catherine Plaisant,0.3878327,0.479674797,0.41509434
Benjamin B. Bederson,0.358333333,0.356164384,0.383928571
Stuart K. Card,0.368231047,0.32,0.486238532
Achim Ebert,0.368231047,0.358381503,0.32183908
Mary C. Whitton,0.470588235,0.380952381,0.455958549
Henry Fuchs,0.38317757,0.398190045,0.408376963
Dieter Schmalstieg,0.294117647,0.373737374,0.405940594
Anna Celler,0.303921569,0.330935252,0.242857143
Ghassan Hamarneh,0.414746544,0.475675676,0.485148515
Xenophon Papademetris,0.403508772,0.441025641,0.43438914
Penny Rheingans,0.311926606,0.436363636,0.385964912
Marie desJardins,0.362068966,0.443243243,0.419889503
Carla E. Brodley,0.411214953,0.452631579,0.470588235
