Name,Generated Text 1,Generated Text 2,Generated Text 3
Ben Shneiderman,0.9814672,0.97729,0.962759
Fabian Beck,0.9716525,0.97202665,0.96617264
Mary Jean Harrold,0.9667159,0.94477475,0.974882
Stephan Diehl,0.98140395,0.97079265,0.95548946
Daniel Weiskopf,0.9801439,0.96226907,0.9808125
Michael Burch,0.97598004,0.97119766,0.9641137
James A. Jones,0.9787192,0.9312128,0.9372178
Catherine Plaisant,0.9722125,0.9777352,0.97084415
Benjamin B. Bederson,0.9759166,0.9484398,0.9682072
Stuart K. Card,0.9757167,0.95609033,0.9853024
Achim Ebert,0.98013383,0.97313863,0.94722027
Mary C. Whitton,0.9848365,0.965407,0.97096384
Henry Fuchs,0.9735593,0.9589893,0.9720052
Dieter Schmalstieg,0.9836369,0.9677646,0.9733947
Anna Celler,0.9731606,0.93729055,0.9496108
Ghassan Hamarneh,0.9806132,0.98063576,0.97708607
Xenophon Papademetris,0.9831127,0.97305,0.9714129
Penny Rheingans,0.97800535,0.9593118,0.9448031
Marie desJardins,0.97573555,0.971064,0.9715383
Carla E. Brodley,0.98016155,0.95668834,0.9441257
