Name,Model,publications,F1 Score,RougeL,Length,Vec2,Bleu
Xenophon Papademetris,turbo,97,0.4389892693333333,0.500932744,342.6666666666667,0.9503996266666668,0.3423666666666666
Xenophon Papademetris,davinci,97,0.2286483823333333,0.2440801457194899,190.3333333333333,0.7397471000000001,0.1085666666666666
Xenophon Papademetris,curie,97,0.3247988486666667,0.5205128205128204,264.0,0.7689114212989807,0.2067666666666666
Xenophon Papademetris,ada,97,0.0996689586666666,0.204654953,250.66666666666663,0.8110430836677551,0.0224666666666666
Stuart K. Card,turbo,83,0.5215692200000001,0.6339171530000001,393.6666666666667,0.9290287466666666,0.4403666666666666
Stuart K. Card,davinci,83,0.4486873819999999,0.5338266384778013,296.3333333333333,0.8236059666666667,0.3138333333333333
Stuart K. Card,curie,83,0.377007964,0.5938238770685579,330.6666666666667,0.892323891321818,0.3001333333333333
Stuart K. Card,ada,83,0.2358781943333333,0.4151070336666667,302.6666666666667,0.82569420337677,0.1787
Stephan Diehl,turbo,100,0.3615907596666667,0.4730276366666666,433.0,0.9220237333333332,0.2440333333333333
Stephan Diehl,ada,100,0.1742207703333333,0.3279098743333333,254.66666666666663,0.7508961955706278,0.0725
Stephan Diehl,curie,100,0.2305594516666667,0.5117964472803183,285.6666666666667,0.0,0.1885333333333333
Stephan Diehl,davinci,100,0.2812814266666666,0.4482323232323232,162.66666666666666,0.68714575,0.1533
Penny Rheingans,davinci,62,0.3090613546666667,0.2859056316590563,234.66666666666663,0.5104125033333333,0.1530666666666666
Penny Rheingans,turbo,62,0.479431672,0.610624892,323.0,0.9103347,0.3472333333333333
Penny Rheingans,ada,62,0.131361075,0.2903799906666666,215.0,0.6739439765612284,0.0522999999999999
Penny Rheingans,curie,62,0.1145612953333333,0.1830598000377286,295.0,0.7903007467587789,0.0542666666666666
Michael Burch,ada,100,0.1025798573333333,0.206613684,269.3333333333333,0.8162563244501749,0.0348333333333333
Michael Burch,curie,100,0.2006802719999999,0.3144841269841269,314.0,0.8104435801506042,0.1171
Michael Burch,davinci,100,0.319459058,0.3981973995271867,230.66666666666663,0.7742408733333334,0.1534666666666666
Michael Burch,turbo,100,0.4164074353333333,0.5348591003333333,337.0,0.9282206133333334,0.3229
Mary Jean Harrold,davinci,100,0.3852967426666667,0.4814552326954877,223.0,0.7879806366666666,0.2591333333333333
Mary Jean Harrold,ada,100,0.125366299,0.28351255,296.0,0.827622652053833,0.0542666666666666
Mary Jean Harrold,curie,100,0.2758057936666666,0.5718816067653276,290.6666666666667,0.8469225962956747,0.2130999999999999
Mary Jean Harrold,turbo,100,0.4557185893333333,0.558160553,318.6666666666667,0.9353792666666668,0.3796
Mary C. Whitton,turbo,59,0.4880952379999999,0.620264353,375.6666666666667,0.9300691133333334,0.4200333333333333
Mary C. Whitton,ada,59,0.1627995403333333,0.3352713176666667,285.6666666666667,0.7829465866088867,0.1198
Mary C. Whitton,curie,59,0.3300622796666666,0.5619355832948066,293.6666666666667,0.7914738257726034,0.2255333333333333
Mary C. Whitton,davinci,59,0.225818157,0.2957575757575757,208.0,0.5653731733333333,0.1329666666666666
Marie desJardins,curie,99,0.2898579286666666,0.5324432576769026,322.3333333333333,0.8196219801902771,0.2201666666666666
Marie desJardins,davinci,99,0.3217350496666666,0.2445121951219512,278.3333333333333,0.7816176366666667,0.2265666666666666
Marie desJardins,ada,99,0.1354880413333333,0.2239635993333333,117.0,0.0,0.0366333333333333
Marie desJardins,turbo,99,0.5202860753333334,0.618352942,368.3333333333333,0.94561362,0.3992333333333333
James A. Jones,davinci,45,0.2990310076666667,0.5119658119658119,210.0,0.7540946533333334,0.1975666666666666
James A. Jones,curie,45,0.3561339113333333,0.5549825493566704,239.3333333333333,0.841552734375,0.2585
James A. Jones,ada,45,0.1785739846666666,0.3178044056666667,214.0,0.8703359961509705,0.0870333333333333
James A. Jones,turbo,45,0.4579215006666666,0.5720480666666666,278.3333333333333,0.9236536333333332,0.3623666666666666
Henry Fuchs,ada,100,0.1037480386666666,0.275672849,170.33333333333334,0.6409023006757101,0.0233666666666666
Henry Fuchs,curie,100,0.1862588603333333,0.3317778983541328,285.6666666666667,0.7669744690259298,0.1088333333333333
Henry Fuchs,davinci,100,0.2627334096666666,0.2163614163614163,181.0,0.6868941,0.1298666666666666
Henry Fuchs,turbo,100,0.4501560066666667,0.5926552576666667,323.3333333333333,0.8684387666666668,0.355
Ghassan Hamarneh,curie,150,0.155132405,0.2571059431524547,355.6666666666667,0.0,0.0912333333333333
Ghassan Hamarneh,davinci,150,0.1919607973333333,0.2675814751286449,176.0,0.63398435,0.1287
Ghassan Hamarneh,turbo,150,0.448757336,0.5552701976666666,367.0,0.9294762533333332,0.3471666666666667
Ghassan Hamarneh,ada,150,0.0893365893333333,0.162962963,193.66666666666663,0.6859161655108134,0.0178666666666666
Fabian Beck,davinci,61,0.3810956816666667,0.4664021164021164,222.0,0.75943259,0.2256
Fabian Beck,curie,61,0.407967033,0.6185185185185186,296.3333333333333,0.8750274976094564,0.3122
Fabian Beck,ada,61,0.1799373276666666,0.2811728393333333,337.0,0.891168495019277,0.1130999999999999
